lambda	loggf	ewr1
3687.47	-0.78	-4.52
3705.57	-1.33	-4.31
3709.25	-0.57	-4.37
3719.95	-0.45	-3.99
3722.56	-1.28	-4.34
3733.32	-1.41	-4.48
3737.14	-0.6	-4.01
3743.36	-0.82	-4.56
3748.23	-1.06	-4.16
3749.49	0.09	-3.98
3758.24	-0.03	-4.19
3763.79	-0.21	-4.23
3767.19	-0.34	-4.37
3787.88	-0.77	-4.63
3795	-0.65	-4.52
3812.96	-1.06	-4.74
3815.84	0.35	-4.25
3820.43	0.12	-4.04
3824.45	-1.36	-4.42
3825.88	-0.04	-4.12
3834.23	-0.3	-4.36
384.44	-0.51	-4.4
3850	-0.87	-4.63
3856.37	-1.29	-4.32
3859.91	-0.71	-4.1
3865.53	-0.98	-4.68
3872.5	-0.93	-4.58
3878.02	-0.91	-4.55
3886.28	-1.08	-4.25
3887.05	-1.14	-4.68
3895.56	-1.67	-4.65
3899.71	-1.53	-4.49
3906.45	-2.24	-4.86
3920.26	-1.75	-4.47
3922.91	-1.65	-4.51
3930.3	-1.46	-4.53
4202.03	-0.29	-4.7
4250.7	-0.38	-4.88
4271.76	0.16	-4.42
4325.76	0.24	-4.45
4383.55	0.35	-4.19
4404.75	0.11	-4.46
4415.12	-0.09	-4.81
