wave_peak	note	wave_base	wave_top				
375.929	Ti 2	375.87	375.99				
376.132	Ti 2	376.065	376.195				
379.79	H 1	379.72	379.86				
382.043	Fe 1	382.004	382.105				
382.935	Mg 1	382.9	382.985				
383.23	Mg 1	383.206	383.256				
383.829	Mg 1	383.804	383.859				
385.991	Fe 1	385.962	386.035
386.553	Fe 1	386.542	386.562			
388.628	Fe 1	388.606	388.638
390.055	Ti 2	389.999	390.106				
391.346	Ti 2	391.298	391.4
393.030	Fe 1	393	393.059
393.201	Ti 2	393.188	393.219			
393.366	Ca 2	393.262	393.454				
404.582	Fe 1	404.553	404.626				
406.36	Fe 1	406.32	406.402				
407.771	Sr 2	407.732	407.812				
421.552	Sr 2	421.516	421.587				
422.673	Ca 1	422.628	422.721				
423.316	Fe 2	423.22	423.398				
424.683	Sc 2	424.63	424.728				
425.435	Cr 1	425.38	425.483				
427.48	Cr 1	427.412	427.535				
429.413	Fe 1	429.338	429.461				
430.005	Ti 2	429.976	430.042
430.317	Fe 2	430.299	430.336			
430.791	Fe 1	430.74	430.835
435.176	Fe 2	435.158	435.208				
438.355	Fe 1	438.321	438.398				
439.503	Ti 2	439.445	439.552				
440.475	Fe 1	440.422	440.528				
444.38	Ti 2	444.338	444.438				
446.849	Ti 2	446.809	446.89				
450.127	Ti 2	450.095	450.17				
452.263	Fe 2	452.218	452.306				
454.962	Ti 2	454.90	455.009				
456.376	Ti 2	456.336	456.418				
457.197	Ti 2	457.146	457.25				
458.383	Ti 2	458.346	458.425				
