wave_peak	wave_base	wave_top	note
375.929	375.879	376.009	Ti 2
376.132	376.05	376.183	Ti 2
376.379	376.318	376.41	Fe 1
376.719	376.66	376.735	Fe 1
376.946	376.893	376.953	Ni 2
377.063	376.985	377.106	H 1
377.433	377.375	377.443	Y 2
378.335	378.301	378.35	Fe 2
378.633	378.623	378.666	Ti 2
378.788	378.736	378.798	Fe 1
378.85	378.826	378.875	Y 2
379.5	379.449	379.512	Fe 1
379.79	379.71	379.856	H 1
379.955	379.912	379.998	Fe 1
381.458	381.38	381.465	Ti 2
381.584	381.525	381.615	Fe 1
382.043	381.971	382.082	Fe 1
382.444	382.387	382.467	Fe 1
382.588	382.518	382.646	Fe 1
382.783	382.72	382.795	Fe 1
382.935	382.87	382.97	Mg 1
383.23	383.156	383.253	Mg 1
383.423	383.363	383.438	Fe 1
383.829	383.76	383.865	Mg 1
384.303	384.252	384.313	Zr 2
384.997	384.946	385.056	Fe 1
385.082	385.056	385.129	Fe 1
385.637	385.576	385.845	Fe 1
385.83	385.825	385.835	Ni 1
385.991	385.91	386.022	Fe 1
386.553	386.505	386.576	Fe 1
387.25	387.18	387.278	Fe 1
388.228	388.186	388.24	Ti 2
388.628	388.567	388.642	Fe 1
388.705	388.682	388.736	Fe 1
388.852	388.827	388.976	Fe 1
389.566	389.509	389.579	Fe 1
390.295	390.238	390.335	Fe 1
390.645	390.588	390.659	Fe 1
391.346	391.282	391.38	Ti 2
392.026	391.961	392.051	Fe 1
392.291	392.230	392.316	Fe 1
392.792	392.71	392.818	Fe 1
393.03	392.947	393.059	Fe 1
393.366	393.361	393.371	Ca 2
393.829	393.782	393.859	Fe 2
394.401	394.352	394.415	Al 1
395.035	394.992	395.056	Y 2
395.197	395.156	395.212	V 2
395.824	395.756	395.835	Zr 2
396.152	396.102	396.165	Al 1
398.763	398.729	398.795	Ti 2
398.98	398.975	398.985	V 2
399.898	399.818	399.904	Zr 2
401.237	401.179	401.261	Ti 2
402.833	402.781	402.856	Ti 2
403.076	403.022	403.089	Mn 1
403.307	403.249	403.328	Mn 1
403.449	403.392	403.465	Mn 1
403.563	403.509	403.572	V 2
404.582	404.512	404.609	Fe 1
406.36	406.287	406.389	Fe 1
407.174	407.103	407.196	Fe 1
407.771	407.689	407.807	Sr 2
410.174	410.067	410.241	H 2
416.152	416.087	416.165	Ti 2
416.364	416.336	416.399	Ti 2
417.354	417.294	417.364	Ti 2
417.754	417.689	417.778	Y 2
417.886	417.838	417.899	Fe 2
420.203	420.143	420.218	Fe 1
421.552	421.57	421.61	Sr 2
422.673	422.598	422.702	Ca 1
423.316	423.219	423.358	Fe 2
424.683	424.6	424.719	Sc 2
425.079	425.018	425.101	Fe 1
425.435	425.363	425.471	Cr 1
425.816	425.761	425.846	Fe 2
427.176	427.11	427.196	Fe 1
427.48	427.405	427.516	Cr 1
428.789	428.758	428.829	Ti 2
429.41	429.321	429.436	Fe 1
430.005	429.936	430.056	Ti 2
430.79	430.728	430.808	Fe 1
431.286	431.252	431.336	Ti 2
431.498	431.472	431.544	Ti 2
432.075	432.01	432.107	Sc 2
432.097	432.042	432.132	Ti 2
433.792	433.754	433.838	Ti 2
434.047	433.927	434.152	H 2
435.176	435.109	435.202	Fe 2
438.355	438.285	438.38	Fe 1
439.503	439.421	439.536	Ti 2
439.977	439.921	440.986	Ti 2
440.475	440.408	440.503	Fe 1
441.772	441.739	441.809	Ti 2
444.380	444.342	444.428	Ti 2
445.049	445	445.097	Ti 2
450.127	450.084	450.193	Ti 2
452.263	452.205	452.381	Fe 2
453.397	453.349	453.453	Ti 2
454.962	454.896	455.039	Ti 2
455.403	455.398	455.408	Fe 2
456.376	456.335	456.422	Ti 2
458.383	458.31	458.416	Fe 2
