wave_peak	wave_base	wave_top	note
3761.32	3760.75	3762.1	Ti 2
3763.79	3763.4	3764.34	Fe 1
3767.19	3766.7	3767.55	Fe 1
3769.46	3769.41	3769.51	Ni 2
3770.63	3770.58	3770.68	H 1
3774.33	3774.28	3774.38	Y 2
3783.35	3783.25	3783.75	Fe 2
3787.88	3787.58	3788.21	Fe 1
3788.7	3788.65	3788.75	Y 2
3795	3794.58	3795.38	Fe 1
3797.9	3797.85	3797.95	H 1
3814.58	3814.18	3815.1	Ti 2
3815.84	3815.5	3816.3	Fe 1
3820.43	3819.98	3821.02	Fe 1
3824.44	3824.05	3824.91	Fe 1
3825.88	3825.5	3826.46	Fe 1
3827.83	3827.43	3828.23	Fe 1
3829.35	3829.3	3829.4	Mg 1
3832.3	3832.25	3832.35	Mg 1
3834.23	3833.77	3834.69	Fe 1
3835.39	3835.34	3835.44	H 1
3838.29	3838.24	3838.34	Mg 1
3843.03	3842.98	3843.08	Zr 2
3850	3849.65	3850.3	CN 1
3850.82	3850.55	3851.15	Fe 1
3856.37	3855.97	3856.85	Fe 1
3858.3	3858.25	3858.35	Ni 1
3859.91	3859.35	3860.43	Fe 1
3865.53	3865.32	3865.91	Fe 1
3872.5	3872.04	3872.92	Fe 1
3882.28	3882.1	3882.64	Ti 2
3886.28	3885.94	3886.67	Fe 1
3887.05	3886.79	3887.38	Fe 1
3888.52	3888.19	3889.78	Fe 1
3895.66	3895.33	3895.99	Fe 1
3902.95	3902.53	3903.56	Fe 1
3906.45	3906.14	3906.81	Fe 1
3913.46	3913.02	3913.98	Ti 2
3914.48	3914.05	3914.98	Fe 2
3920.26	3919.98	3920.71	Fe 1
3922.91	3922.59	3923.4	Fe 1
3927.92	3927.55	3928.4	Fe 1
3930.3	3929.47	3930.77	Fe 1
3933.66	3933.61	3933.71	Ca 2
3938.29	3938.1	3938.83	Fe 2
3944.01	3943.96	3944.06	Al 1
3945.21	3945.16	3945.26	Fe 2
3950.35	3950.3	3950.4	Y 2
3951.97	3951.92	3952.02	V 2
3958.24	3958.19	3958.29	Zr 2
3961.52	3961.47	3961.57	Al 1
3989.8	3989.75	3989.85	V 2
3998.98	3998.93	3999.03	Zr 2
4005.71	4005.66	4005.76	Fe 1
4012.37	4012.06	4012.85	Ti 2
4028.33	4028.09	4028.76	Ti 2
4030.76	4030.71	4030.81	Mn 1
4033.07	4033.02	4033.12	Mn 1
4034.49	4034.44	4034.54	Mn 1
4035.63	4035.58	4035.68	V 2
4045.82	4045.41	4046.33	Fe 1
4063.6	4063.12	4064.15	Fe 1
4071.74	4071.39	4072.17	Fe 1
4077.71	4173.15	4173.78	Sr 2
4101.74	4101.69	4101.79	H 2
4161.52	4160.95	4161.86	Ti 2
4173.54	417.314	4173.79	Ti 2
4177.54	4177.49	4177.59	Y 2
4178.86	4178.68	4179.2	Fe 2
4202.03	4201.72	4202.51	Fe 1
4205.05	4205	4205.1	Eu 2
4215.52	4215.47	4215.57	Sr 2
4226.73	4226.68	4226.78	Ca 1
4233.16	4232.49	4233.82	Fe 2
4246.83	4246.78	4246.88	Sc 2
4250.79	4250.43	4251.26	Fe 1
4254.35	4254.3	4254.4	Cr 1
4258.16	4257.87	4258.75	Fe 2
4271.76	4271.39	4272.19	Fe 1
4274.8	4274.75	4274.85	Cr 1
4294.1	4293.48	4294.52	Ti 2
4300.05	4299.75	4300.81	Ti 2
4307.9	430.751	4308.43	Ti 2
4312.86	4312.61	4313.29	Ti 2
4320.75	4320.7	4320.8	Sc 2
4340.47	4340.42	4340.52	H 2
4344.29	4344.07	4344.73	Ti 2
4351.76	4351.39	4352.29	Fe 2
4383.55	4383.15	4384.04	Fe 1
4395.03	4394.66	4395.63	Ti 2
4399.77	4399.48	4400.072	Ti 2
4400.36	4400.31	4400.41	Sc 2
4404.75	4404.4	4405.25	Fe 1
4417.72	4417.46	4418	Ti 2
4443.8	4443.48	4444.46	Ti 2
4468.49	4468.14	4468.97	Ti 2
4501.27	4500.88	4501.67	Ti 2
4522.63	4522.24	4523.16	Fe 2
4533.97	4533.65	4534.44	Ti 2
4549.62	4549.06	4550.08	Ti 2
4554.03	4553.98	4554.08	Fe 2
4563.76	4563.48	4564.32	Ti 2
4571.97	4571.47	4572.48	Ti 2
4583.83	4583.03	4584.44	Fe 2
4589.96	4589.62	4590.28	Ti 2
4629.34	4629.1	4629.69	Fe 2
