wave_peak	wave_base	wave_top	note
376.132	376.132	376.132	Ti 2
376.379	376.379	376.379	Fe 1
376.719	376.719	376.719	Fe 1
376.946	376.946	376.946	Ni 2
377.063	377.063	377.063	H 1
377.433	377.433	377.433	Y 2
378.335	378.335	378.335	Fe 2
378.788	378.788	378.788	Fe 1
378.87	378.87	378.87	Y 2
379.5	379.5	379.5	Fe 1
379.79	379.79	379.79	H 1
381.458	381.458	381.458	Ti 2
381.584	381.584	381.584	Fe 1
382.043	382.043	382.043	Fe 1
382.444	382.444	382.444	Fe 1
382.588	382.588	382.588	Fe 1
382.783	382.783	382.783	Fe 1
382.935	382.935	382.935	Mg 1
383.23	383.23	383.23	Mg 1
383.423	383.423	383.423	Fe 1
383.539	383.539	383.539	H 1
383.829	383.829	383.829	Mg 1
384.303	384.303	384.303	Zr 2
385	385	385	CN 1
385.082	385.082	385.082	Fe 1
385.637	385.637	385.637	Fe 1
385.83	385.83	385.83	Ni 1
385.991	385.991	385.991	Fe 1
386.553	386.553	386.553	Fe 1
387.25	387.25	387.25	Fe 1
388.228	388.228	388.228	Ti 2
388.628	388.628	388.628	Fe 1
388.705	388.705	388.705	Fe 1
388.852	388.852	388.852	Fe 1
389.566	389.566	389.566	Fe 1
390.295	390.295	390.295	Fe 1
390.645	390.645	390.645	Fe 1
391.346	391.346	391.346	Ti 2
391.448	391.448	391.448	Fe 2
392.026	392.026	392.026	Fe 1
392.291	392.291	392.291	Fe 1
392.792	392.792	392.792	Fe 1
393.03	393.03	393.03	Fe 1
393.366	393.366	393.366	Ca 2
393.829	393.829	393.829	Fe 2
394.401	394.401	394.401	Al 1
394.521	394.521	394.521	Fe 2
395.035	395.035	395.035	Y 2
395.197	395.197	395.197	V 2
395.824	395.824	395.824	Zr 2
396.152	396.152	396.152	Al 1
398.98	398.98	398.98	V 2
399.898	399.898	399.898	Zr 2
400.571	400.571	400.571	Fe 1
401.237	401.237	401.237	Ti 2
402.833	402.833	402.833	Ti 2
403.076	403.076	403.076	Mn 1
403.307	403.307	403.307	Mn 1
403.449	403.449	403.449	Mn 1
403.563	403.563	403.563	V 2
404.582	404.582	404.582	Fe 1
406.36	406.36	406.36	Fe 1
407.174	407.174	407.174	Fe 1
407.771	407.771	407.771	Sr 2
410.174	410.174	410.174	H 2
416.152	416.152	416.152	Ti 2
417.354	417.354	417.354	Ti 2
417.754	417.754	417.754	Y 2
417.886	417.886	417.886	Fe 2
420.203	420.203	420.203	Fe 1
420.505	420.505	420.505	Eu 2
421.552	421.552	421.552	Sr 2
422.673	422.673	422.673	Ca 1
423.316	423.316	423.316	Fe 2
424.683	424.683	424.683	Sc 2
425.079	425.079	425.079	Fe 1
425.435	425.435	425.435	Cr 1
425.816	425.816	425.816	Fe 2
427.176	427.176	427.176	Fe 1
427.48	427.48	427.48	Cr 1
429.41	429.41	429.41	Ti 2
430.005	430.005	430.005	Ti 2
430.79	430.79	430.79	Ti 2
431.286	431.286	431.286	Ti 2
432.075	432.075	432.075	Sc 2
434.047	434.047	434.047	H 2
434.429	434.429	434.429	Ti 2
435.176	435.176	435.176	Fe 2
438.355	438.355	438.355	Fe 1
439.503	439.503	439.503	Ti 2
439.977	439.977	439.977	Ti 2
440.036	440.036	440.036	Sc 2
440.475	440.475	440.475	Fe 1
441.772	441.772	441.772	Ti 2
444.38	444.38	444.38	Ti 2
446.849	446.849	446.849	Ti 2
450.127	450.127	450.127	Ti 2
452.263	452.263	452.263	Fe 2
453.397	453.397	453.397	Ti 2
454.962	454.962	454.962	Ti 2
455.403	455.403	455.403	Fe 2
456.376	456.376	456.376	Ti 2
457.197	457.197	457.197	Ti 2
458.383	458.383	458.383	Fe 2
458.996	458.996	458.996	Ti 2
462.934	462.934	462.934	Fe 2
