wave_peak	wave_base	wave_top	note	flux	loggf	lower_state_eV	upper_state_eV	EW	EWR	error_f	errEWR
376.38490682115486	376.31779376825364	376.4093115676645	Fe 1	0.09471982483379376	-0.23800000000000002	0.99	4.283	0.041027724115260504	-3.9625547732230855	0.007090164520980792	0.0836485039678874
376.72657327228876	376.65946021938737	376.7326744589161	Fe 1	0.11427627183655087	-0.389	1.011	4.301	0.026613030240168124	-4.150931927789421	0.007743012896836669	0.23430560625748265
378.7948755389738	378.73386367269995	378.8009767256013	Fe 1	0.3220019460587718	-0.8590000000000001	1.011	4.283	0.01625031588757076	-4.367542287507731	0.00773850258185851	0.1950370358215856
379.50871437437866	379.4477025081046	379.5148155610058	Fe 1	0.17876447046219784	-0.7609999999999999	0.99	4.256	0.022001621928675583	-4.236767055143184	0.006612881165049607	0.23005721693634412
379.9602021848054	379.9113926917863	379.9968093045697	Fe 1	0.1458898833659152	-0.846	0.958	4.22	0.035606773585476814	-4.028205487099104	0.0068194686244806854	0.218824216057555
381.5953202009459	381.52210596141714	381.61362376082803	Fe 1	0.1743765596451967	0.237	1.485	4.733	0.03584757812382492	-4.02714322008244	0.006851067255118816	0.13219089838542292
382.0529091980001	381.97359377184404	382.08341513113686	Fe 1	0.07094080930706859	0.11900000000000001	0.859	4.103	0.06184943845400092	-3.790787750112536	0.0074192496638927265	0.02455190121885273
382.4555875154078	382.38847446250657	382.46778988866265	Fe 1	0.2058429994762327	-1.3619999999999999	0.0	3.241	0.036561480357857556	-4.019557238358944	0.00694756027396725	0.11663995807600516
382.59591480783786	382.51659938168166	382.64472430085686	Fe 1	0.08134152122266837	-0.037000000000000005	0.915	4.154	0.04925185618080938	-3.890317725880744	0.007209173140962811	0.08538140389809505
382.7911527799144	382.7179385403856	382.7972539665417	Fe 1	0.20545884334433734	0.062	1.557	4.796	0.024568173484318133	-4.192589021486998	0.12665502373539522	0.17185736656821174
383.4256761891628	383.36466432288887	383.4378785624176	Fe 1	0.11597663536280788	-0.302	0.958	4.191	0.025800190531370698	-4.172058278957652	0.12032569703991905	0.303156873678431
385.0058835256568	384.94487165938284	385.054693018676	Fe 1	0.35318062046664256	-0.871	1.011	4.231	0.029238613174489798	-4.119510596674717	0.07823127435641639	0.07946708816428356
385.09130013844026	385.054693018676	385.12790725820463	Fe 1	0.6195396789998597	-1.734	0.99	4.209	0.012892135702397967	-4.475238839048608	0.006683971662059527	0.280078381935446
385.6465081215328	385.57329388200407	385.8478472802366	Fe 1	0.18781160195652674	-1.286	0.052	3.266	0.04952772335338007	-3.891341038173174	0.0062116144785668076	0.010789656569253311
385.994275759294	385.90885914651045	386.02478169243085	Fe 1	0.06146573244649028	-0.71	0.0	3.211	0.057442959027099796	-3.8273440608137395	0.006551466179432572	0.035295339372367035
386.55558492901383	386.5067754359947	386.57388848889605	Fe 1	0.4022659648797996	-0.982	1.011	4.218	0.02429956303663099	-4.201613488278313	0.007357982178756209	0.045829029612150414
387.25722139116374	387.1779059650077	387.27552495104584	Fe 1	0.3384214981659241	-0.9279999999999999	0.99	4.191	0.03049747306038147	-4.103735668676526	0.007418275598338981	0.05422890194998373
388.63608956895376	388.5689765160525	388.6421907555812	Fe 1	0.0892928940388696	-1.0759999999999998	0.052	3.241	0.02818557870688177	-4.139516171449236	0.0064722790214046	0.3576838691444761
388.7154049951098	388.6848990619729	388.733708554992	Fe 1	0.22693703370546306	-1.1440000000000001	0.915	4.103	0.01495656094692938	-4.414800007255683	0.07191578830526846	0.3526141884820935
388.9411489003234	388.82522635440284	388.97775602008767	Fe 1	-0.026478612881806585	-0.5479999999999999	1.608	4.796	0.12059199565507636	-3.508565410455875	0.007031642853137469	0.0008347732305484755
