element	wave_A	wave_nm	loggf	lower_state_eV	lower_state_cm1	lower_j	upper_state_eV	upper_state_cm1	upper_j	upper_g	lande_lower	lande_upper	spectrum_transition_type	turbospectrum_rad	rad	stark	waals	waals_single_gamma_format	turbospectrum_fdamp	spectrum_fudge_factor	theoretical_depth	theoretical_ew	lower_orbital_type	upper_orbital_type	molecule	spectrum_synthe_isotope	ion	spectrum_moog_species	turbospectrum_species	width_species	reference_code	spectrum_support	turbospectrum_support	moog_support	width_support	synthe_support	sme_support	wave_peak	wave_base	wave_top	note	peak	base	top	depth	relative_depth	wave_base_fit	wave_top_fit	base_fit	top_fit	mu	sig	A	baseline	gamma	mu_err	fwhm	fwhm_kms	R	depth_fit	relative_depth_fit	integrated_flux	ewr	ew	ew_err	snr	mean_flux	mean_flux_continuum	diff_wavelength	rms	telluric_wave_peak	telluric_fwhm	telluric_R	telluric_depth	grouped	reference_for_group	discarded
Fe 1	3763.789	376.3789	-0.238	0.9900	7984.889	2.0	4.2830	34544.725	2.0	5.0	1.000	1.000	AO	1.45E+08	8.160	-6.110	287.271	-7.682	287.271	1.000	1.000	1375.700	s	p	F	0	1	26.0	26.000000	26.00	FMW    N B	T	T	T	F	T	T	376.3790	376.3350	376.4290		1370	1325	1419	0.814	0.742	376.3760	376.3820	1366	1372	376.3815	0.0060	-0.8449	1.000	9999.0000	29498.7613	0.0141	11.2539	26639	0.845	0.066	0.0127	-4.47	127.1	13.0	32.0	0.460	1.000	0.0360	0.103	0.0000	0.0000	0	0.000	False	False	False
Fe 1	3767.192	376.7192	-0.389	1.0110	8154.265	1.0	4.3010	34689.905	1.0	3.0	-0.010	-0.020	AO	1.45E+08	8.160	-6.110	289.272	-7.679	289.272	1.000	1.000	1136.090	s	p	F	0	1	26.0	26.000000	26.00	FMW    N B	T	T	T	T	T	T	376.7190	376.6700	376.7630		1710	1660	1753	0.773	0.700	376.6700	376.7630	1660	1753	376.7257	0.0247	-0.8119	1.000	9999.0000	0.0008	0.0582	46.2945	6476	0.812	0.650	0.0503	-3.87	502.7	33.7	45.4	0.699	1.000	0.1482	0.074	0.0000	0.0000	0	0.000	False	False	False
Fe 1	3787.880	378.7880	-0.859	1.0110	8154.265	1.0	4.2830	34544.725	2.0	5.0	-0.010	1.000	AO	1.45E+08	8.160	-6.110	287.271	-7.682	287.271	1.000	1.000	667.960	s	p	F	0	1	26.0	26.000000	26.00	FMW    N B	T	T	T	T	T	T	378.7880	378.7570	378.8290		3779	3747	3819	0.428	0.355	378.7840	378.7940	3774	3784	378.7924	0.0100	-0.4487	1.000	9999.0000	40374.0693	0.0235	18.6370	16086	0.449	0.122	0.0112	-4.53	112.5	13.7	50.2	1.019	1.000	0.0600	0.007	0.0000	0.0000	0	0.000	False	False	False
Fe 1	3795.002	379.5002	-0.761	0.9900	7984.889	2.0	4.2560	34326.955	3.0	7.0	1.000	1.240	AO	1.45E+08	8.160	-6.120	285.269	-7.684	285.269	1.000	1.000	762.550	s	p	F	0	1	26.0	26.000000	26.00	FMW    N B	T	T	T	F	T	T	379.5000	379.4590	379.5390		4491	4449	4529	0.642	0.570	379.4590	379.5390	4449	4529	379.5060	0.0203	-0.6874	1.000	9999.0000	9532.4263	0.0478	37.7433	7943	0.687	0.660	0.0350	-4.04	349.6	27.1	48.7	0.763	1.000	0.1217	0.024	0.0000	0.0000	0	0.000	False	False	False
Fe 1	3815.840	381.5840	0.237	1.4850	11977.333	4.0	4.7330	38174.220	3.0	7.0	1.250	1.320	AO	1.62E+08	8.210	-5.910	337.250	-7.608	337.250	1.000	1.000	1512.400	s	p	F	0	1	26.0	26.000000	26.00	BWL    E 0	T	T	T	T	T	T	381.5840	381.5500	381.5910		6575	6540	6581	0.718	0.645	381.5800	381.5870	6570	6577	381.5850	0.0070	-0.7339	1.000	9999.0000	28921.6494	0.0165	12.9505	23149	0.734	0.096	0.0129	-4.47	128.8	7.9	53.4	0.901	1.000	0.0420	0.031	0.0000	0.0000	0	0.000	False	False	False
Fe 1	3820.425	382.0425	0.119	0.8590	6928.302	5.0	4.1030	33092.927	4.0	9.0	1.400	1.500	AO	1.95E+08	8.290	-6.160	272.257	-7.702	272.257	1.000	1.000	2371.450	s	p	F	0	1	26.0	26.000000	26.00	FMW    N B	T	T	T	F	T	T	382.0430	381.9970	382.0470		7034	6987	7037	0.933	0.860	381.9970	382.0470	6987	7037	382.0436	0.0189	-0.9378	1.000	9999.0000	9938.0529	0.0446	34.9645	8574	0.938	0.552	0.0445	-3.93	444.8	13.6	70.4	1.086	1.000	0.1135	0.219	0.0000	0.0000	0	0.000	False	False	False
Fe 1	3824.443	382.4443	-1.362	0.0000	0.000	4.0	3.2410	26140.428	3.0	7.0	1.500	1.500	AO	1.45E+07	7.160	-6.220	230.247	-7.773	230.247	1.000	1.000	1040.500	s	p	F	0	1	26.0	26.000000	26.00	FMW    N B	T	T	T	F	T	T	382.4440	382.4060	382.4920		7435	7396	7482	0.640	0.567	382.4400	382.4460	7430	7436	382.4449	0.0060	-0.6476	1.000	9999.0000	0.0070	0.0141	11.0754	27068	0.648	0.141	0.0097	-4.59	97.4	6.6	59.1	0.834	1.000	0.0360	0.019	0.0000	0.0000	0	0.000	False	False	False
Fe 1	3825.881	382.5881	-0.037	0.9150	7379.973	4.0	4.1540	33504.270	3.0	7.0	1.350	1.490	AO	2.00E+08	8.300	-6.160	276.261	-7.697	276.261	1.000	1.000	1879.760	s	p	F	0	1	26.0	26.000000	26.00	FMW    N B	T	T	T	F	T	T	382.5880	382.5400	382.6380		7579	7530	7628	0.880	0.808	382.5870	382.5920	7577	7582	382.5908	0.0050	-0.9137	1.000	9999.0000	0.0051	0.0118	9.2260	32494	0.914	0.057	0.0115	-4.52	114.5	8.4	40.2	0.427	1.000	0.0300	0.078	0.0000	0.0000	0	0.000	False	False	False
Fe 1	3827.822	382.7822	0.062	1.5570	12558.052	3.0	4.7960	38682.349	2.0	5.0	1.090	1.150	AO	1.58E+08	8.200	-5.890	345.246	-7.597	345.246	1.000	1.000	1162.170	s	p	F	0	1	26.0	26.000000	26.00	FMW    N B	T	T	T	T	T	T	382.7830	382.7360	382.8220		7774	7726	7812	0.586	0.514	382.7830	382.7850	7773	7775	382.7830	0.0020	-0.7541	1.000	9999.0000	61072.0500	0.0047	3.6886	81276	0.754	0.185	0.0038	-5.01	37.8	3.3	44.1	0.467	1.000	0.0120	0.143	0.0000	0.0000	0	0.000	False	False	False
Fe 1	3834.222	383.4222	-0.302	0.9580	7726.791	3.0	4.1910	33802.695	2.0	5.0	1.250	1.500	AO	1.95E+08	8.290	-6.160	279.264	-7.693	279.264	1.000	1.000	1333.570	s	p	F	0	1	26.0	26.000000	26.00	FMW    N B	T	T	T	F	T	T	383.4230	383.3760	383.4270		8414	8366	8417	0.843	0.770	383.4150	383.4270	8405	8417	383.4235	0.0120	-0.8588	1.000	9999.0000	0.0107	0.0283	22.0943	13569	0.859	0.141	0.0258	-4.17	258.3	16.0	47.8	0.573	1.000	0.0720	0.023	0.0000	0.0000	0	0.000	False	False	False
