element	wave_A	wave_nm	loggf	lower_state_eV	lower_state_cm1	lower_j	upper_state_eV	upper_state_cm1	upper_j	upper_g	lande_lower	lande_upper	spectrum_transition_type	turbospectrum_rad	rad	stark	waals	waals_single_gamma_format	turbospectrum_fdamp	spectrum_fudge_factor	theoretical_depth	theoretical_ew	lower_orbital_type	upper_orbital_type	molecule	spectrum_synthe_isotope	ion	spectrum_moog_species	turbospectrum_species	width_species	reference_code	spectrum_support	turbospectrum_support	moog_support	width_support	synthe_support	sme_support	wave_peak	wave_base	wave_top	note	peak	base	top	depth	relative_depth	wave_base_fit	wave_top_fit	base_fit	top_fit	mu	sig	A	baseline	gamma	mu_err	fwhm	fwhm_kms	R	depth_fit	relative_depth_fit	integrated_flux	ewr	ew	ew_err	snr	mean_flux	mean_flux_continuum	diff_wavelength	rms	telluric_wave_peak	telluric_fwhm	telluric_R	telluric_depth	grouped	reference_for_group	discarded
Fe 1	3763.789	376.3789	-0.238	0.9900	7984.889	2.0	4.2830	34544.725	2.0	5.0	1.000	1.000	AO	1.45E+08	8.160	-6.110	287.271	-7.682	287.271	1.000	1.000	1375.700	s	p	F	0	1	26.0	26.000000	26.00	FMW    N B	T	T	T	F	T	T	376.3790	376.3350	376.4290		1370	1325	1419	0.814	0.742	376.3760	376.3820	1366	1372	376.3801	0.0060	-0.0240	1.000	0.0060	31154.9211	0.0216	17.1926	17437	0.833	0.054	0.0214	-4.25	213.7	8.1	32.0	0.463	1.000	0.0360	0.023	0.0000	0.0000	0	0.000	False	False	False
Fe 1	3767.192	376.7192	-0.389	1.0110	8154.265	1.0	4.3010	34689.905	1.0	3.0	-0.010	-0.020	AO	1.45E+08	8.160	-6.110	289.272	-7.679	289.272	1.000	1.000	1136.090	s	p	F	0	1	26.0	26.000000	26.00	FMW    N B	T	T	T	T	T	T	376.7190	376.6700	376.7630		1710	1660	1753	0.773	0.700	376.6700	376.7630	1660	1753	376.7196	0.0000	-0.7309	1.000	0.0873	0.0015	0.1745	138.8695	2159	2.666	2.504	0.0000	-11.07	0.0	40.0	40.7	0.485	1.000	0.0930	1.933	0.0000	0.0000	0	0.000	False	False	False
Fe 1	3787.880	378.7880	-0.859	1.0110	8154.265	1.0	4.2830	34544.725	2.0	5.0	-0.010	1.000	AO	1.45E+08	8.160	-6.110	287.271	-7.682	287.271	1.000	1.000	667.960	s	p	F	0	1	26.0	26.000000	26.00	FMW    N B	T	T	T	T	T	T	378.7880	378.7570	378.8290		3779	3747	3819	0.428	0.355	378.7840	378.7940	3774	3784	378.7929	0.0100	-0.0138	1.000	0.0027	40374.0693	0.0265	20.9699	14296	0.448	0.121	0.0134	-4.45	133.9	13.1	50.2	1.019	1.000	0.0600	0.004	0.0000	0.0000	0	0.000	False	False	False
Fe 1	3795.002	379.5002	-0.761	0.9900	7984.889	2.0	4.2560	34326.955	3.0	7.0	1.000	1.240	AO	1.45E+08	8.160	-6.120	285.269	-7.684	285.269	1.000	1.000	762.550	s	p	F	0	1	26.0	26.000000	26.00	FMW    N B	T	T	T	F	T	T	379.5000	379.4590	379.5390		4491	4449	4529	0.642	0.570	379.4590	379.5390	4449	4529	379.5014	0.0000	-0.4385	1.000	0.0716	0.0043	0.1432	113.1004	2651	1.950	1.922	0.0000	-11.21	0.0	29.7	44.2	0.586	1.000	0.0800	1.364	0.0000	0.0000	0	0.000	False	False	False
Fe 1	3815.840	381.5840	0.237	1.4850	11977.333	4.0	4.7330	38174.220	3.0	7.0	1.250	1.320	AO	1.62E+08	8.210	-5.910	337.250	-7.608	337.250	1.000	1.000	1512.400	s	p	F	0	1	26.0	26.000000	26.00	BWL    E 0	T	T	T	T	T	T	381.5840	381.5500	381.5910		6575	6540	6581	0.718	0.645	381.5800	381.5870	6570	6577	381.5853	0.0070	-0.0243	1.000	0.0070	28921.6494	0.0252	19.7845	15153	0.725	0.087	0.0217	-4.25	216.8	5.5	53.4	0.901	1.000	0.0420	0.005	0.0000	0.0000	0	0.000	False	False	False
Fe 1	3824.443	382.4443	-1.362	0.0000	0.000	4.0	3.2410	26140.428	3.0	7.0	1.500	1.500	AO	1.45E+07	7.160	-6.220	230.247	-7.773	230.247	1.000	1.000	1040.500	s	p	F	0	1	26.0	26.000000	26.00	FMW    N B	T	T	T	F	T	T	382.4440	382.4060	382.4920		7435	7396	7482	0.640	0.567	382.4400	382.4460	7430	7436	382.4454	0.0047	-0.0167	1.000	0.0060	34166.2820	0.0189	14.8387	20203	0.645	0.138	0.0145	-4.42	144.6	4.1	53.2	0.690	1.000	0.0285	0.003	0.0000	0.0000	0	0.000	False	False	False
Fe 1	3825.881	382.5881	-0.037	0.9150	7379.973	4.0	4.1540	33504.270	3.0	7.0	1.350	1.490	AO	2.00E+08	8.300	-6.160	276.261	-7.697	276.261	1.000	1.000	1879.760	s	p	F	0	1	26.0	26.000000	26.00	FMW    N B	T	T	T	F	T	T	382.5880	382.5400	382.6380		7579	7530	7628	0.880	0.808	382.5870	382.5920	7577	7582	382.5900	0.0050	-0.0217	1.000	0.0050	0.0051	0.0180	14.0946	21270	0.908	0.051	0.0194	-4.29	194.0	4.8	40.2	0.427	1.000	0.0300	0.018	0.0000	0.0000	0	0.000	False	False	False
Fe 1	3834.222	383.4222	-0.302	0.9580	7726.791	3.0	4.1910	33802.695	2.0	5.0	1.250	1.500	AO	1.95E+08	8.290	-6.160	279.264	-7.693	279.264	1.000	1.000	1333.570	s	p	F	0	1	26.0	26.000000	26.00	FMW    N B	T	T	T	F	T	T	383.4230	383.3760	383.4270		8414	8366	8417	0.843	0.770	383.4150	383.4270	8405	8417	383.4240	0.0120	-0.0413	1.000	0.0084	0.0055	0.0381	29.8065	10058	0.851	0.133	0.0382	-4.00	382.1	11.8	47.4	0.570	1.000	0.0720	0.007	0.0000	0.0000	0	0.000	False	False	False
Fe 1	3856.371	385.6371	-1.286	0.0520	419.408	3.0	3.2660	26342.067	2.0	5.0	1.500	1.500	AO	1.41E+07	7.150	-6.220	231.247	-7.771	231.247	1.000	1.000	1083.140	s	p	F	0	1	26.0	26.000000	26.00	FMW    N B	T	T	T	F	T	T	385.6370	385.5910	385.6830		10628	10581	10673	0.644	0.571	385.6360	385.6420	10626	10632	385.6399	0.0060	-0.0193	1.000	0.0060	0.0098	0.0216	16.7798	17866	0.671	0.043	0.0172	-4.35	172.1	4.6	62.2	0.784	1.000	0.0360	0.013	0.0000	0.0000	0	0.000	False	False	False
Fe 1	3859.911	385.9911	-0.710	0.0000	0.000	4.0	3.2110	25898.462	4.0	9.0	1.500	1.500	AO	1.51E+07	7.180	-6.220	228.247	-7.777	228.247	1.000	1.000	2207.500	s	p	F	0	1	26.0	26.000000	26.00	FMW    N B	T	T	T	F	T	T	385.9910	385.9420	386.0410		10982	10932	11031	0.923	0.850	385.9890	385.9950	10979	10985	385.9925	0.0060	-0.0272	1.000	0.0060	0.0032	0.0216	16.7645	17883	0.947	0.045	0.0243	-4.20	242.8	5.2	40.1	0.457	1.000	0.0360	0.019	0.0000	0.0000	0	0.000	False	False	False
