wave_peak	wave_base	wave_top	note	flux	loggf	lower_state_eV	upper_state_eV	EW	EWR	error_f	errEWR
375.9151154508458	375.8785083310816	376.00663325025664	Ti 2	-0.022297722239118276	0.28	0.607	3.904			0.007090164520980792	
376.1164546095497	376.04934155664847	376.183567662451	Ti 2	-0.03692557491887688	0.18	0.574	3.869	0.09039439827418594	-3.6191808155087117	0.007743012896836669	0.07076471211358297
378.63624468666177	378.6240423134069	378.66675061979873	Ti 2	0.4813290433593864	-2.6	0.607	3.881	0.01765799461448324	-4.331280804122022	0.00773850258185851	0.05236893993599885
381.46109409514327	381.3817786689872	381.4671952817706	Ti 2	0.2227863327078246	-1.68	0.574	3.823	0.0042123210296109714	-4.956928787825724	0.006612881165049607	0.363321842260019
388.2334112515461	388.18460175852687	388.2395124381735	Ti 2	0.4808050065830081	-1.87	1.116	4.308	0.013732036403632516	-4.451357961844195	0.0068194686244806854	0.1199032573789141
391.3572188047697	391.284004565241	391.38162355127923	Ti 2	0.02922664241176863	-0.36	1.116	4.283	0.05714832712906361	-3.835569826978095	0.006851067255118816	0.065060752955897
398.77626174367583	398.72745225065665	398.794565303558	Ti 2	0.5013177485994984	-2.73	0.607	3.716	0.01677426357999196	-4.376085834873473	0.0074192496638927265	0.04059081992073182
401.2472423277688	401.1801292748674	401.2594447010235	Ti 2	0.1644757251989315	-1.78	0.574	3.663	0.030794197785611013	-4.114943165783282	0.00694756027396725	0.08448763186387742
402.8457532241449	402.7786401712436	402.8579555973996	Ti 2	0.3927311801822032	-0.92	1.892	4.969			0.007209173140962811	
416.1585424451096	416.0853282055809	416.1646436317369	Ti 2	0.4853009560583277	-2.09	1.084	4.063	0.017413197920840843	-4.378380277479801	0.12665502373539522	0.057933845243091864
416.3781851636956	416.33547685730383	416.39648872357765	Ti 2	0.5102436032699164	-0.13	2.59	5.567	0.017161181644827952	-4.38494077974571	0.12032569703991905	0.013459469084361467
417.35437502407797	417.2933631578041	417.36657739733283	Ti 2	0.2759812791376972	-1.88	1.084	4.054	0.023186188925735228	-4.255275600202296	0.07823127435641639	0.09712168619768874
428.79409995043403	428.7574928306697	428.83070707019834	Ti 2	0.2801009034918971	-1.79	1.08	3.971	0.02273114086633773	-4.275627567664834	0.006683971662059527	0.00899905160170716
430.014337275912	429.935021849756	430.05704558230383	Ti 2	0.07879849367843086	-0.46	1.18	4.063	0.05550195810793363	-3.8891746305095722	0.0062116144785668076	0.011756947548268943
431.2955864676639	431.2528781612722	431.3382947740556	Ti 2	0.14857864893299125	-1.12	1.18	4.054	0.035291808375169154	-4.087101101486784	0.006551466179432572	0.06975381341832146
431.50302681299513	431.47252087985817	431.5457351193869	Ti 2	0.13791293084859882	-1.15	1.161	4.034	0.02875889562125347	-4.176211641893928	0.007357982178756209	0.12748528825157185
432.0826395425972	432.0399312362055	432.1314490356163	Ti 2	0.17804091138467212	-1.88	1.165	4.034	0.036786445490129514	-4.0698789914127484	0.007418275598338981	0.012138897313723805
433.8031741715212	433.75436467850204	433.8397812912855	Ti 2	0.07619223843570741	-0.96	1.08	3.937	0.04059874328479045	-4.028780135054631	0.0064722790214046	0.05302216371806218
439.50778366813074	439.4223670553472	439.5382896012677	Ti 2	0.05274227936891256	-0.54	1.084	3.904	0.05025342477173593	-3.9418009065413515	0.07191578830526846	0.030627956961577316
440.48397352851305	439.92266435879316	440.9842708319592	Ti 2	0.11384486411762745	-1.2	1.237	4.054			0.007031642853137469	
441.7835262801471	441.7408179737553	441.8079310266567	Ti 2	0.18716916823893406	-1.19	1.165	3.971	0.025294116540245583	-4.2421900021798145	0.006615325794187886	0.037773854645913395
444.3826317834152	444.3399234770235	444.4253400898069	Ti 2	0.09712387671775516	-0.71	1.08	3.869	0.048057607301804445	-3.965994932370551	0.007862057252322271	0.03657176742919151
445.0598634990555	444.9988516327816	445.0964706188198	Ti 2	0.16756357663885002	-1.52	1.084	3.869	0.031182131288578295	-4.15451263463931	0.05396712962589265	0.02121490335738289
450.14215195967125	450.0811400933974	450.1909614526904	Ti 2	0.07577789070309526	-0.77	1.116	3.869	0.05522955231934732	-3.9111781598774322	0.008088860740361317	0.018898106031332428
453.4001856186975	453.3513761256784	453.45509629834396	Ti 2	0.07846081731519883	-0.53	1.237	3.971	0.05065242583848804	-3.9518814442260215	0.00787352675993156	0.010638040447433763
454.95598820868173	454.894976342408	455.0414048214652	Ti 2	0.06815666701796809	-0.22	1.584	4.308	0.0632280738604764	-3.8570594337164166	0.0062978055678948024	0.021833911470276215
456.3836658794911	456.33485638647204	456.42027299925553	Ti 2	0.0960282490178899	-0.69	1.221	3.937	0.04249203685734252	-4.0310225429725515	0.007480070384098716	0.0095518574129727
