element	wave_A	wave_nm	loggf	lower_state_eV	lower_state_cm1	lower_j	upper_state_eV	upper_state_cm1	upper_j	upper_g	lande_lower	lande_upper	spectrum_transition_type	turbospectrum_rad	rad	stark	waals	waals_single_gamma_format	turbospectrum_fdamp	spectrum_fudge_factor	theoretical_depth	theoretical_ew	lower_orbital_type	upper_orbital_type	molecule	spectrum_synthe_isotope	ion	spectrum_moog_species	turbospectrum_species	width_species	reference_code	spectrum_support	turbospectrum_support	moog_support	width_support	synthe_support	sme_support	wave_peak	wave_base	wave_top	note	peak	base	top	depth	relative_depth	wave_base_fit	wave_top_fit	base_fit	top_fit	mu	sig	A	baseline	gamma	mu_err	fwhm	fwhm_kms	R	depth_fit	relative_depth_fit	integrated_flux	ewr	ew	ew_err	snr	mean_flux	mean_flux_continuum	diff_wavelength	rms	telluric_wave_peak	telluric_fwhm	telluric_R	telluric_depth	grouped	reference_for_group	discarded
Ti 2	3761.321	376.1321	0.180	0.5740	4629.622	2.5	3.8690	31205.590	2.5	6.0	0.860	0.870	GA	1.41E+08	8.150	-6.390	-7.850	-7.850	-7.850	1.000	1.000	453.900	s	p	F	0	2	22.1	22.000000	22.01	WLSC   E 0	T	T	T	F	T	T	376.1320	376.1290	376.1530		1123	1119	1143	0.948	0.741	376.1290	376.1530	1119	1143	376.1413	0.0193	-0.1046	1.000	0.0240	0.0006	0.0763	60.7889	4932	1.001	0.065	0.0905	-3.62	905.4	9.4	40.2	0.769	1.000	0.1155	0.016	0.0000	0.0000	0	0.000	False	False	False
Ti 2	3882.287	388.2287	-1.870	1.1160	9001.147	3.5	4.3080	34746.364	4.5	10.0	0.890	1.110	GA	2.04E+08	8.310	-6.490	-7.820	-7.820	-7.820	1.000	0.880	68.770	d	p	F	0	2	22.1	22.000000	22.01	WLSC   E 0	T	T	T	T	T	T	388.2280	388.2080	388.2650		13219	13198	13255	0.016	-0.190	388.2080	388.2650	13198	13255	388.2310	0.0312	-0.0268	1.000	0.0000	0.0252	0.0736	56.8113	5277	0.342	0.136	0.0268	-4.16	267.8	25.9	83.9	1.202	1.000	0.1875	0.357	0.0000	0.0000	0	0.000	False	False	False
Ti 2	3913.461	391.3461	-0.360	1.1160	9001.147	3.5	4.2830	34544.725	3.5	8.0	0.890	0.890	GA	2.04E+08	8.310	-6.490	-7.820	-7.820	-7.820	1.000	0.950	174.540	d	p	F	0	2	22.1	22.000000	22.01	WLSC   E 0	T	T	T	T	T	T	391.3460	391.3000	391.3490		16337	16290	16339	0.865	0.659	391.3420	391.3490	16332	16339	391.3466	0.0070	-0.0293	1.000	0.0070	0.0141	0.0252	19.2910	15541	0.875	0.077	0.0262	-4.17	261.6	4.8	52.9	0.630	1.000	0.0420	0.007	0.0000	0.0000	0	0.000	False	False	False
Ti 2	4012.384	401.2384	-1.780	0.5740	4629.622	2.5	3.6630	29544.088	2.5	6.0	0.860	0.580	GA	1.66E+08	8.220	-6.390	-7.860	-7.860	-7.860	1.000	0.920	95.020	s	p	F	0	2	22.1	22.000000	22.01	WLSC   E 0	T	T	T	F	T	T	401.2370	401.1880	401.2870		26228	26178	26277	0.635	0.429	401.2370	401.2430	26227	26233	401.2413	0.0060	-0.0196	1.000	0.0060	0.0071	0.0216	16.1274	18589	0.680	0.057	0.0174	-4.36	174.4	4.0	74.5	0.636	1.000	0.0360	0.012	0.0000	0.0000	0	0.000	False	False	False
Ti 2	4161.529	416.1529	-2.090	1.0840	8743.050	2.5	4.0630	32770.305	3.5	8.0	1.210	1.430	GA	2.57E+08	8.410	-6.430	-7.840	-7.840	-7.840	1.000	0.840	63.990	s	p	F	0	2	22.1	22.000000	22.01	WLSC   E 0	T	T	T	T	T	T	416.1520	416.1400	416.1890		41143	41130	41179	0.025	-0.181	416.1510	416.1540	41141	41144	416.1520	0.0030	-0.0003	1.000	0.0030	0.2631	0.0108	7.7748	38560	0.024	0.004	0.0003	-6.13	3.1	2.1	117.1	0.990	1.000	0.0180	0.004	0.0000	0.0000	0	0.000	False	False	False
Ti 2	4173.533	417.3533	-1.880	1.0840	8743.050	2.5	4.0540	32697.715	2.5	6.0	1.210	1.370	GA	2.57E+08	8.410	-6.430	-7.840	-7.840	-7.840	1.000	0.860	72.550	s	p	F	0	2	22.1	22.000000	22.01	WLSC   E 0	T	T	T	T	T	T	417.3540	417.3100	417.3790		42345	42300	42369	0.461	0.255	417.3500	417.3560	42340	42346	417.3535	0.0060	-0.0134	1.000	0.0060	0.0072	0.0216	15.5048	19336	0.465	0.024	0.0119	-4.54	119.2	3.8	95.8	0.774	1.000	0.0360	0.007	0.0000	0.0000	0	0.000	False	False	False
Ti 2	4300.042	430.0042	-0.460	1.1800	9517.342	2.5	4.0630	32770.305	3.5	8.0	1.600	1.430	GA	2.57E+08	8.410	-6.490	-7.840	-7.840	-7.840	1.000	0.930	166.140	d	p	F	0	2	22.1	22.000000	22.01	WLSC   E 0	T	T	T	T	T	T	430.0050	429.9560	430.0550		54996	54946	55045	0.813	0.607	430.0030	430.0100	54993	55000	430.0072	0.0070	-0.0280	1.000	0.0070	0.0043	0.0252	17.5566	17076	0.836	0.041	0.0250	-4.24	250.1	3.6	85.7	0.439	1.000	0.0420	0.016	0.0000	0.0000	0	0.000	False	False	False
Ti 2	4312.860	431.2860	-1.120	1.1800	9517.342	2.5	4.0540	32697.715	2.5	6.0	1.600	1.370	GA	2.57E+08	8.410	-6.500	-7.840	-7.840	-7.840	1.000	0.900	106.350	d	p	F	0	2	22.1	22.000000	22.01	WLSC   E 0	T	T	T	T	T	T	431.2860	431.2370	431.3340		56277	56227	56324	0.605	0.399	431.2840	431.2880	56274	56278	431.2864	0.0040	-0.0118	1.000	0.0040	61475.6898	0.0144	10.0026	29972	0.617	0.032	0.0105	-4.61	105.4	2.4	97.8	0.521	1.000	0.0240	0.015	0.0000	0.0000	0	0.000	False	False	False
Ti 2	4344.281	434.4281	-1.910	1.0840	8743.050	2.5	3.9370	31754.047	1.5	4.0	1.210	0.920	GA	1.45E+08	8.160	-6.430	-7.850	-7.850	-7.850	1.000	0.840	72.310	s	p	F	0	2	22.1	22.000000	22.01	PTP    E 0	T	T	T	T	T	T	434.4290	434.4290	434.4790		59420	59420	59469	0.631	0.425	434.4300	434.4790	59420	59469	434.4412	0.0000	-0.0847	1.000	0.0388	0.0069	0.0777	53.5972	5593	0.694	0.305	0.0000	-11.72	0.0	9.7	93.0	0.418	1.000	0.0490	0.009	0.0000	0.0000	0	0.000	False	False	False
Ti 2	4395.031	439.5031	-0.540	1.0840	8743.050	2.5	3.9040	31487.884	3.5	8.0	1.210	1.150	GA	1.45E+08	8.160	-6.430	-7.850	-7.850	-7.850	1.000	0.920	163.840	s	p	F	0	2	22.1	22.000000	22.01	WLSC   E 0	T	T	T	T	T	T	439.5030	439.4540	439.5530		64494	64444	64543	0.902	0.696	439.5000	439.5060	64490	64496	439.5035	0.0060	-0.0265	1.000	0.0060	0.0160	0.0216	14.7233	20362	0.920	0.045	0.0236	-4.27	236.0	3.8	69.4	0.276	1.000	0.0360	0.018	0.0000	0.0000	0	0.000	False	False	False
