wave_peak	wave_base	wave_top	note	flux	loggf	lower_state_eV	upper_state_eV	EW	EWR	errEWR	error_f
376.11699999997313	376.04999999997466	376.1829999999716	Ti 2	-0.0481515755441608	0.18	0.574	3.869	0.09631874807314693	-3.5916121343126037	1.1136659389858858	0.0
381.4429999998472	381.37999999984874	381.46499999984667	Ti 2	0.21367146332082376	-1.68	0.574	3.823	0.026618620916336405	-4.15624409804116	3.055086766807134	0.04009421611758312
391.3329999996133	391.28199999961447	391.3799999996122	Ti 2	0.038103410657374034	-0.36	1.116	4.283	0.05028488026870283	-3.8911090518796554	1.164197885905141	0.03934962084512892
429.98199999869934	429.9359999987005	430.05599999869764	Ti 2	0.08456887274456862	-0.46	1.18	4.063	0.0474627281023421	-3.957097578088889	1.052843553449487	0.05267831415942604
431.2689999986689	431.2149999986703	431.30699999866806	Ti 2	0.20037784493563796	-1.12	1.18	4.054	0.02793524149923096	-4.1885958116184705	1.7413587394626988	0.05983177130704544
439.48099999847483	439.4209999984762	439.5359999984735	Ti 2	0.03220903668677007	-0.54	1.084	3.904	0.05298626583988971	-3.9187767899677324	0.9154176797710858	0.057596830813535664
444.36199999835935	444.3099999983606	444.3999999983585	Ti 2	0.04179869226688488	-0.71	1.08	3.869	0.04840229950004307	-3.9628709181585595	1.4251448806231395	0.047221611385078716
446.83199999830094	446.7799999983022	446.8859999982997	Ti 2	0.010308389606435708	-5.981	6.971	9.745	0.057045864201157225	-3.893920103931844	1.5630384904977617	0.0474863703980351
454.9279999981095	454.86799999811086	455.0079999981076	Ti 2	0.0304070394056441	-0.22	1.584	4.308	0.06376631365507282	-3.8533513566435484	1.3117069636586873	0.0485290589592231
456.35599999807573	456.3369999980762	456.42199999807417	Ti 2	0.053026964452320184	-0.69	1.221	3.937	0.03061505438207219	-4.173368729627639	2.3996312093002925	0.0481509024694509
457.17899999805627	457.1199999980577	457.21999999805536	Ti 2	0.03848801508837979	-0.31	1.572	4.283	0.04687570788599489	-3.989138434140132	1.4322808187909593	0.04796172050430254
