element	wave_A	wave_nm	loggf	lower_state_eV	lower_state_cm1	lower_j	upper_state_eV	upper_state_cm1	upper_j	upper_g	lande_lower	lande_upper	spectrum_transition_type	turbospectrum_rad	rad	stark	waals	waals_single_gamma_format	turbospectrum_fdamp	spectrum_fudge_factor	theoretical_depth	theoretical_ew	lower_orbital_type	upper_orbital_type	molecule	spectrum_synthe_isotope	ion	spectrum_moog_species	turbospectrum_species	width_species	reference_code	spectrum_support	turbospectrum_support	moog_support	width_support	synthe_support	sme_support	wave_peak	wave_base	wave_top	note	peak	base	top	depth	relative_depth	wave_base_fit	wave_top_fit	base_fit	top_fit	mu	sig	A	baseline	gamma	mu_err	fwhm	fwhm_kms	R	depth_fit	relative_depth_fit	integrated_flux	ewr	ew	ew_err	snr	mean_flux	mean_flux_continuum	diff_wavelength	rms	telluric_wave_peak	telluric_fwhm	telluric_R	telluric_depth	grouped	reference_for_group	discarded
Ti 2	3761.321	376.1321	0.180	0.5740	4629.622	2.5	3.8690	31205.590	2.5	6.0	0.860	0.870	GA	1.41E+08	8.150	-6.390	-7.850	-7.850	-7.850	1.000	1.000	453.900	s	p	F	0	2	22.1	22.000000	22.01	WLSC   E 0	T	T	T	F	T	T	376.1320	376.0859	376.1320		185	177	185	0.920	0.389	376.0859	376.1347	177	185	376.1294	0.0488	-0.9220	1.000	9999.0000	0.0102	0.1149	91.6105	3272	0.922	0.128	0.1128	-3.52	1128.0	281.4	20.1	0.113	1.000	0.2929	0.076	0.0000	0.0000	0	0.000	False	False	False
Ti 2	3882.287	388.2287	-1.870	1.1160	9001.147	3.5	4.3080	34746.364	4.5	10.0	0.890	1.110	GA	2.04E+08	8.310	-6.490	-7.820	-7.820	-7.820	1.000	0.880	68.770	d	p	F	0	2	22.1	22.000000	22.01	WLSC   E 0	T	T	T	T	T	T	388.2280	388.2151	388.2517		2168	2165	2171	0.925	0.394	388.2212	388.2517	2166	2171	388.2326	0.0305	-0.9427	1.000	9999.0000	0.0137	0.0718	55.4716	5404	0.943	0.045	0.0721	-3.73	720.9	97.6	34.7	0.120	1.000	0.1830	0.057	0.0000	0.0000	0	0.000	False	False	False
Ti 2	3913.461	391.3461	-0.360	1.1160	9001.147	3.5	4.2830	34544.725	3.5	8.0	0.890	0.890	GA	2.04E+08	8.310	-6.490	-7.820	-7.820	-7.820	1.000	0.950	174.540	d	p	F	0	2	22.1	22.000000	22.01	WLSC   E 0	T	T	T	T	T	T	391.3460	391.3145	391.3938		2679	2673	2686	0.925	0.394	391.3145	391.3755	2673	2683	391.3525	0.0498	-0.9232	1.000	9999.0000	0.0061	0.1172	89.8074	3338	0.923	0.127	0.1152	-3.53	1152.1	112.9	43.9	0.159	1.000	0.2987	0.039	0.0000	0.0000	0	0.000	False	False	False
Ti 2	4012.384	401.2384	-1.780	0.5740	4629.622	2.5	3.6630	29544.088	2.5	6.0	0.860	0.580	GA	1.66E+08	8.220	-6.390	-7.860	-7.860	-7.860	1.000	0.920	95.020	s	p	F	0	2	22.1	22.000000	22.01	WLSC   E 0	T	T	T	F	T	T	401.2370	401.1923	401.2838		4300	4292	4307	0.858	0.328	401.1923	401.2533	4292	4302	401.2351	0.0328	-0.8728	1.000	9999.0000	0.0066	0.0773	57.7533	5191	0.873	0.313	0.0718	-3.75	718.1	31.9	75.8	0.366	1.000	0.1969	0.065	0.0000	0.0000	0	0.000	False	False	False
Ti 2	4028.338	402.8338	-0.920	1.8920	15260.009	4.5	4.9690	40077.688	3.5	8.0	1.110	1.160	GA	2.63E+08	8.420	-6.410	-7.830	-7.830	-7.830	1.000	0.880	79.150	s	p	F	0	2	22.1	22.000000	22.01	WLSC   E 0	T	T	T	T	T	T	402.8330	402.8091	402.8640		4561	4557	4566	0.713	0.183	402.8091	402.8640	4557	4566	402.8383	0.0209	-0.7236	1.000	9999.0000	0.0061	0.0491	36.5610	8200	0.724	0.306	0.0378	-4.03	378.4	19.2	79.5	0.487	1.000	0.1252	0.068	0.0000	0.0000	0	0.000	False	False	False
Ti 2	4161.529	416.1529	-2.090	1.0840	8743.050	2.5	4.0630	32770.305	3.5	8.0	1.210	1.430	GA	2.57E+08	8.410	-6.430	-7.840	-7.840	-7.840	1.000	0.840	63.990	s	p	F	0	2	22.1	22.000000	22.01	WLSC   E 0	T	T	T	T	T	T	416.1520	416.1036	416.1768		6744	6736	6748	0.773	0.242	416.1280	416.1768	6740	6748	416.1460	0.0488	-0.7674	1.000	9999.0000	0.0105	0.1149	82.8013	3621	0.767	0.170	0.0939	-3.65	938.9	35.3	103.7	0.419	1.000	0.2929	0.030	0.0000	0.0000	0	0.000	False	False	False
Ti 2	4173.533	417.3533	-1.880	1.0840	8743.050	2.5	4.0540	32697.715	2.5	6.0	1.210	1.370	GA	2.57E+08	8.410	-6.430	-7.840	-7.840	-7.840	1.000	0.860	72.550	s	p	F	0	2	22.1	22.000000	22.01	WLSC   E 0	T	T	T	T	T	T	417.3540	417.3055	417.3726		6941	6933	6944	0.796	0.266	417.3055	417.3726	6933	6944	417.3417	0.0495	-0.8238	1.000	9999.0000	0.0080	0.1166	83.7260	3581	0.824	0.170	0.1022	-3.61	1022.1	50.3	82.5	0.283	1.000	0.2970	0.030	0.0000	0.0000	0	0.000	False	False	False
Ti 2	4300.042	430.0042	-0.460	1.1800	9517.342	2.5	4.0630	32770.305	3.5	8.0	1.600	1.430	GA	2.57E+08	8.410	-6.490	-7.840	-7.840	-7.840	1.000	0.930	166.140	d	p	F	0	2	22.1	22.000000	22.01	WLSC   E 0	T	T	T	T	T	T	430.0050	429.9777	430.0265		9015	9010	9018	0.884	0.353	429.9777	430.0265	9010	9018	430.0082	0.0436	-0.8799	1.000	9999.0000	0.0065	0.1027	71.6109	4186	0.880	0.120	0.0962	-3.65	962.1	44.3	87.6	0.223	1.000	0.2617	0.029	0.0000	0.0000	0	0.000	False	False	False
Ti 2	4312.860	431.2860	-1.120	1.1800	9517.342	2.5	4.0540	32697.715	2.5	6.0	1.600	1.370	GA	2.57E+08	8.410	-6.500	-7.840	-7.840	-7.840	1.000	0.900	106.350	d	p	F	0	2	22.1	22.000000	22.01	WLSC   E 0	T	T	T	T	T	T	431.2860	431.2406	431.3322		9225	9217	9232	0.832	0.301	431.2589	431.3260	9220	9231	431.2840	0.0373	-0.8239	1.000	9999.0000	0.0052	0.0877	60.9923	4915	0.824	0.455	0.0770	-3.75	769.5	23.3	125.7	0.334	1.000	0.2236	0.059	0.0000	0.0000	0	0.000	False	False	False
Ti 2	4344.281	434.4281	-1.910	1.0840	8743.050	2.5	3.9370	31754.047	1.5	4.0	1.210	0.920	GA	1.45E+08	8.160	-6.430	-7.850	-7.850	-7.850	1.000	0.840	72.310	s	p	F	0	2	22.1	22.000000	22.01	PTP    E 0	T	T	T	T	T	T	434.4290	434.4010	434.4743		9740	9735	9747	0.812	0.282	434.4010	434.4743	9735	9747	434.4443	0.0279	-0.8901	1.000	9999.0000	0.0040	0.0657	45.3291	6614	0.890	0.530	0.0622	-3.84	622.4	12.7	144.9	0.481	1.000	0.1674	0.038	0.0000	0.0000	0	0.000	False	False	False
Ti 2	4395.031	439.5031	-0.540	1.0840	8743.050	2.5	3.9040	31487.884	3.5	8.0	1.210	1.150	GA	1.45E+08	8.160	-6.430	-7.850	-7.850	-7.850	1.000	0.920	163.840	s	p	F	0	2	22.1	22.000000	22.01	WLSC   E 0	T	T	T	T	T	T	439.5030	439.4589	439.5504		10572	10564	10579	0.913	0.383	439.4589	439.5321	10564	10576	439.5094	0.0522	-0.9198	1.000	9999.0000	0.0065	0.1228	83.7788	3578	0.920	0.403	0.1203	-3.56	1202.6	21.1	162.6	0.461	1.000	0.3130	0.046	0.0000	0.0000	0	0.000	False	False	False
Ti 2	4399.765	439.9765	-1.200	1.2370	9977.078	1.5	4.0540	32697.715	2.5	6.0	1.330	1.370	GA	2.57E+08	8.410	-6.500	-7.840	-7.840	-7.840	1.000	0.880	99.840	d	p	F	0	2	22.1	22.000000	22.01	WLSC   E 0	T	T	T	T	T	T	439.9770	439.9409	440.0019		10649	10643	10653	0.764	0.234	439.9409	440.0019	10643	10653	439.9724	0.0298	-0.7577	1.000	9999.0000	0.0052	0.0701	47.7422	6279	0.758	0.374	0.0565	-3.89	565.1	16.6	139.8	0.384	1.000	0.1785	0.069	0.0000	0.0000	0	0.000	False	False	False
Ti 2	4417.714	441.7714	-1.190	1.1650	9396.359	1.5	3.9710	32028.275	2.5	6.0	1.740	1.200	GA	1.48E+08	8.170	-6.580	-7.850	-7.850	-7.850	1.000	0.880	102.780	d	p	F	0	2	22.1	22.000000	22.01	PTP    E 0	T	T	T	T	T	T	441.7720	441.7469	441.8018		10944	10939	10948	0.606	0.075	441.7469	441.8018	10939	10948	441.7664	0.0219	-0.6962	1.000	9999.0000	0.0052	0.0517	35.0677	8549	0.696	0.635	0.0383	-4.06	382.9	10.6	151.5	0.513	1.000	0.1317	0.100	0.0000	0.0000	0	0.000	False	False	False
Ti 2	4443.801	444.3801	-0.710	1.0800	8710.788	1.5	3.8690	31205.590	2.5	6.0	0.800	0.870	GA	1.41E+08	8.150	-6.430	-7.850	-7.850	-7.850	1.000	0.910	145.750	s	p	F	0	2	22.1	22.000000	22.01	WLSC   E 0	T	T	T	T	T	T	444.3800	444.3460	444.4009		11371	11365	11374	0.794	0.263	444.3460	444.4009	11365	11374	444.3828	0.0221	-0.7884	1.000	9999.0000	0.0103	0.0519	35.0423	8555	0.788	0.584	0.0436	-4.01	435.9	12.1	132.8	0.443	1.000	0.1323	0.058	0.0000	0.0000	0	0.000	False	False	False
Ti 2	4468.493	446.8493	-0.630	1.1310	9122.130	4.5	3.9040	31487.884	3.5	8.0	1.110	1.150	GA	1.45E+08	8.160	-6.590	-7.850	-7.850	-7.850	1.000	0.910	149.880	d	p	F	0	2	22.1	22.000000	22.01	WLSC   E 0	T	T	T	T	T	T	446.8490	446.8170	446.8963		11776	11770	11783	0.834	0.304	446.8170	446.8963	11770	11783	446.8547	0.0240	-0.8348	1.000	9999.0000	0.0053	0.0565	37.8936	7911	0.835	0.601	0.0502	-3.95	501.9	9.8	166.3	0.501	1.000	0.1439	0.052	0.0000	0.0000	0	0.000	False	False	False
Ti 2	4501.270	450.1270	-0.770	1.1160	9001.147	3.5	3.8690	31205.590	2.5	6.0	0.890	0.870	GA	1.41E+08	8.150	-6.590	-7.850	-7.850	-7.850	1.000	0.900	137.750	d	p	F	0	2	22.1	22.000000	22.01	WLSC   E 0	T	T	T	T	T	T	450.1270	450.0811	450.1543		12313	12305	12317	0.768	0.238	450.0811	450.1543	12305	12317	450.1248	0.0216	-0.7887	1.000	9999.0000	0.0053	0.0509	33.9230	8837	0.789	0.604	0.0428	-4.02	427.6	8.1	177.4	0.583	1.000	0.1298	0.031	0.0000	0.0000	0	0.000	False	False	False
Ti 2	4533.960	453.3960	-0.530	1.2370	9977.078	1.5	3.9710	32028.275	2.5	6.0	1.330	1.200	GA	1.48E+08	8.170	-6.540	-7.850	-7.850	-7.850	1.000	0.910	151.810	d	p	F	0	2	22.1	22.000000	22.01	PTP    E 0	T	T	T	T	T	T	453.3970	453.3574	453.4428		12849	12842	12856	0.779	0.249	453.3574	453.4428	12842	12856	453.4000	0.0194	-0.7797	1.000	9999.0000	0.0042	0.0457	30.2130	9923	0.780	0.618	0.0379	-4.08	379.2	8.1	172.1	0.470	1.000	0.1164	0.063	0.0000	0.0000	0	0.000	False	False	False
Ti 2	4549.622	454.9622	-0.220	1.5840	12775.822	5.5	4.3080	34746.364	4.5	10.0	1.090	1.110	GA	2.04E+08	8.310	-6.490	-7.820	-7.820	-7.820	1.000	0.900	155.650	d	p	F	0	2	22.1	22.000000	22.01	WLSC   E 0	T	T	T	T	T	T	454.9620	454.9132	455.0109		13105	13097	13113	0.851	0.321	454.9132	454.9987	13097	13111	454.9626	0.0301	-0.8532	1.000	9999.0000	0.0050	0.0709	46.7071	6419	0.853	0.584	0.0644	-3.85	643.7	10.3	184.2	0.593	1.000	0.1806	0.022	0.0000	0.0000	0	0.000	False	False	False
Ti 2	4563.757	456.3757	-0.690	1.2210	9848.029	0.5	3.9370	31754.047	1.5	4.0	0.660	0.920	GA	1.45E+08	8.160	-6.550	-7.850	-7.850	-7.850	1.000	0.900	137.510	d	p	F	0	2	22.1	22.000000	22.01	PTP    E 0	T	T	T	T	T	T	456.3760	456.3470	456.4019		13337	13332	13341	0.773	0.243	456.3470	456.4019	13332	13341	456.3765	0.0184	-0.7731	1.000	9999.0000	0.0050	0.0433	28.4312	10544	0.773	0.339	0.0356	-4.11	356.2	6.5	191.8	0.553	1.000	0.1103	0.096	0.0000	0.0000	0	0.000	False	False	False
Ti 2	4571.971	457.1971	-0.310	1.5720	12679.035	4.5	4.2830	34544.725	3.5	8.0	0.910	0.890	GA	2.04E+08	8.310	-6.490	-7.820	-7.820	-7.820	1.000	0.900	147.190	d	p	F	0	2	22.1	22.000000	22.01	WLSC   E 0	T	T	T	T	T	T	457.1970	457.1524	457.2439		13472	13464	13479	0.772	0.241	457.1768	457.2134	13468	13474	457.1906	0.0366	-0.8021	1.000	9999.0000	0.0092	0.0862	56.5258	5304	0.802	0.153	0.0736	-3.79	736.0	10.9	215.0	0.640	1.000	0.2196	0.009	0.0000	0.0000	0	0.000	False	False	False
Ti 2	4589.958	458.9958	-1.620	1.2370	9977.078	1.5	3.9370	31754.047	1.5	4.0	1.330	0.920	GA	1.45E+08	8.160	-6.540	-7.850	-7.850	-7.850	1.000	0.830	80.360	d	p	F	0	2	22.1	22.000000	22.01	RHL    E0.	T	T	T	T	T	T	458.9960	458.9583	459.0315		13767	13760	13772	0.511	-0.019	458.9583	459.0315	13760	13772	458.9957	0.0121	-0.5652	1.000	9999.0000	0.0071	0.0285	18.6335	16089	0.565	0.557	0.0172	-4.43	171.6	4.0	210.1	0.777	1.000	0.0727	0.011	0.0000	0.0000	0	0.000	False	False	False
