element	wave_A	wave_nm	loggf	lower_state_eV	lower_state_cm1	lower_j	upper_state_eV	upper_state_cm1	upper_j	upper_g	lande_lower	lande_upper	spectrum_transition_type	turbospectrum_rad	rad	stark	waals	waals_single_gamma_format	turbospectrum_fdamp	spectrum_fudge_factor	theoretical_depth	theoretical_ew	lower_orbital_type	upper_orbital_type	molecule	spectrum_synthe_isotope	ion	spectrum_moog_species	turbospectrum_species	width_species	reference_code	spectrum_support	turbospectrum_support	moog_support	width_support	synthe_support	sme_support	wave_peak	wave_base	wave_top	note	peak	base	top	depth	relative_depth	wave_base_fit	wave_top_fit	base_fit	top_fit	mu	sig	A	baseline	gamma	mu_err	fwhm	fwhm_kms	R	depth_fit	relative_depth_fit	integrated_flux	ewr	ew	ew_err	snr	mean_flux	mean_flux_continuum	diff_wavelength	rms	telluric_wave_peak	telluric_fwhm	telluric_R	telluric_depth	grouped	reference_for_group	discarded
Ti 2	3761.321	376.1321	0.180	0.5740	4629.622	2.5	3.8690	31205.590	2.5	6.0	0.860	0.870	GA	1.41E+08	8.150	-6.390	-7.850	-7.850	-7.850	1.000	1.000	453.900	s	p	F	0	2	22.1	22.000000	22.01	WLSC   E 0	T	T	T	F	T	T	376.1320	376.1290	376.1530		1123	1119	1143	0.948	0.741	376.1290	376.1530	1119	1143	376.1410	0.0178	-1.0280	1.000	9999.0000	0.0005	0.0419	33.4270	8969	1.028	0.092	0.0459	-3.91	459.0	24.4	38.5	0.727	1.000	0.1069	0.053	0.0000	0.0000	0	0.000	False	False	False
Ti 2	3882.287	388.2287	-1.870	1.1160	9001.147	3.5	4.3080	34746.364	4.5	10.0	0.890	1.110	GA	2.04E+08	8.310	-6.490	-7.820	-7.820	-7.820	1.000	0.880	68.770	d	p	F	0	2	22.1	22.000000	22.01	WLSC   E 0	T	T	T	T	T	T	388.2280	388.2080	388.2650		13219	13198	13255	0.016	-0.190	388.2080	388.2650	13198	13255	388.2383	0.0042	-0.1349	1.000	9999.0000	0.0032	0.0100	7.7134	38867	0.135	-0.071	0.0014	-5.43	14.3	9.8	79.5	1.050	1.000	0.0570	0.107	0.0000	0.0000	0	0.000	False	False	False
Ti 2	3913.461	391.3461	-0.360	1.1160	9001.147	3.5	4.2830	34544.725	3.5	8.0	0.890	0.890	GA	2.04E+08	8.310	-6.490	-7.820	-7.820	-7.820	1.000	0.950	174.540	d	p	F	0	2	22.1	22.000000	22.01	WLSC   E 0	T	T	T	T	T	T	391.3460	391.3000	391.3490		16337	16290	16339	0.865	0.659	391.3420	391.3490	16332	16339	391.3468	0.0070	-0.8846	1.000	9999.0000	0.0141	0.0165	12.6274	23741	0.885	0.087	0.0155	-4.40	155.2	8.1	52.9	0.630	1.000	0.0420	0.042	0.0000	0.0000	0	0.000	False	False	False
Ti 2	4173.533	417.3533	-1.880	1.0840	8743.050	2.5	4.0540	32697.715	2.5	6.0	1.210	1.370	GA	2.57E+08	8.410	-6.430	-7.840	-7.840	-7.840	1.000	0.860	72.550	s	p	F	0	2	22.1	22.000000	22.01	WLSC   E 0	T	T	T	T	T	T	417.3540	417.3100	417.3790		42345	42300	42369	0.461	0.255	417.3500	417.3560	42340	42346	417.3540	0.0060	-0.4668	1.000	9999.0000	0.0064	0.0141	10.1490	29539	0.467	0.026	0.0070	-4.77	70.2	4.6	95.8	0.772	1.000	0.0360	0.029	0.0000	0.0000	0	0.000	False	False	False
Ti 2	4300.042	430.0042	-0.460	1.1800	9517.342	2.5	4.0630	32770.305	3.5	8.0	1.600	1.430	GA	2.57E+08	8.410	-6.490	-7.840	-7.840	-7.840	1.000	0.930	166.140	d	p	F	0	2	22.1	22.000000	22.01	WLSC   E 0	T	T	T	T	T	T	430.0050	429.9560	430.0550		54996	54946	55045	0.813	0.607	430.0030	430.0100	54993	55000	430.0081	0.0070	-0.8401	1.000	9999.0000	0.0036	0.0165	11.4921	26087	0.840	0.045	0.0147	-4.46	147.4	5.8	85.7	0.437	1.000	0.0420	0.066	0.0000	0.0000	0	0.000	False	False	False
Ti 2	4312.860	431.2860	-1.120	1.1800	9517.342	2.5	4.0540	32697.715	2.5	6.0	1.600	1.370	GA	2.57E+08	8.410	-6.500	-7.840	-7.840	-7.840	1.000	0.900	106.350	d	p	F	0	2	22.1	22.000000	22.01	WLSC   E 0	T	T	T	T	T	T	431.2860	431.2370	431.3340		56277	56227	56324	0.605	0.399	431.2840	431.2880	56274	56278	431.2871	0.0040	-0.6205	1.000	9999.0000	60512.3386	0.0094	6.5474	45788	0.620	0.036	0.0062	-4.84	62.2	3.1	97.8	0.521	1.000	0.0240	0.062	0.0000	0.0000	0	0.000	False	False	False
Ti 2	4344.281	434.4281	-1.910	1.0840	8743.050	2.5	3.9370	31754.047	1.5	4.0	1.210	0.920	GA	1.45E+08	8.160	-6.430	-7.850	-7.850	-7.850	1.000	0.840	72.310	s	p	F	0	2	22.1	22.000000	22.01	PTP    E 0	T	T	T	T	T	T	434.4290	434.4290	434.4790		59420	59420	59469	0.631	0.425	434.4300	434.4790	59420	59469	434.4417	0.0275	-0.6967	1.000	9999.0000	0.0069	0.0647	44.6643	6712	0.697	0.307	0.0480	-3.96	480.0	19.9	96.6	0.587	1.000	0.1649	0.033	0.0000	0.0000	0	0.000	False	False	False
Ti 2	4395.031	439.5031	-0.540	1.0840	8743.050	2.5	3.9040	31487.884	3.5	8.0	1.210	1.150	GA	1.45E+08	8.160	-6.430	-7.850	-7.850	-7.850	1.000	0.920	163.840	s	p	F	0	2	22.1	22.000000	22.01	WLSC   E 0	T	T	T	T	T	T	439.5030	439.4540	439.5530		64494	64444	64543	0.902	0.696	439.5000	439.5060	64490	64496	439.5044	0.0060	-0.9277	1.000	9999.0000	31888.9449	0.0141	9.6375	31107	0.928	0.052	0.0140	-4.50	139.5	6.9	69.4	0.272	1.000	0.0360	0.073	0.0000	0.0000	0	0.000	False	False	False
Ti 2	4399.765	439.9765	-1.200	1.2370	9977.078	1.5	4.0540	32697.715	2.5	6.0	1.330	1.370	GA	2.57E+08	8.410	-6.500	-7.840	-7.840	-7.840	1.000	0.880	99.840	d	p	F	0	2	22.1	22.000000	22.01	WLSC   E 0	T	T	T	T	T	T	439.9770	439.9410	440.0090		64968	64931	64999	0.525	0.318	439.9750	439.9800	64965	64970	439.9780	0.0050	-0.5263	1.000	9999.0000	0.0054	0.0118	8.0226	37368	0.526	0.022	0.0066	-4.82	66.0	3.3	113.1	0.658	1.000	0.0300	0.029	0.0000	0.0000	0	0.000	False	False	False
Ti 2	4417.714	441.7714	-1.190	1.1650	9396.359	1.5	3.9710	32028.275	2.5	6.0	1.740	1.200	GA	1.48E+08	8.170	-6.580	-7.850	-7.850	-7.850	1.000	0.880	102.780	d	p	F	0	2	22.1	22.000000	22.01	PTP    E 0	T	T	T	T	T	T	441.7720	441.7380	441.8140		66763	66728	66804	0.624	0.418	441.7690	441.7760	66759	66766	441.7723	0.0070	-0.6315	1.000	9999.0000	0.0056	0.0165	11.1861	26800	0.632	0.024	0.0111	-4.60	110.8	5.2	98.4	0.568	1.000	0.0420	0.028	0.0000	0.0000	0	0.000	False	False	False
