wave_peak	wave_base	wave_top	note	flux	loggf	lower_state_eV	upper_state_eV	EW	EWR	error_f	errEWR
376.3848426091913	376.31772903100665	376.4092475467129	Fe 1	0.09405422023134928	-0.23800000000000002	0.99	4.283	0.04079477526409121	-3.9650275806675155	0.04658081263425524	0.08246865119565791
376.7265117344948	376.6593981563102	376.7326129688752	Fe 1	0.11231387063819633	-0.389	1.011	4.301	0.026395160337051523	-4.154501879837899	0.05277722872244743	0.23444621078114297
378.794830189457	378.7338178456528	378.80093142383737	Fe 1	0.3115379710342989	-0.8590000000000001	1.011	4.283	0.014680661133409269	-4.4116584289274074	0.043207029379108544	0.20657167045362698
379.5086746119661	379.4476622681619	379.5147758463466	Fe 1	0.15951092959783852	-0.7609999999999999	0.99	4.256	0.01867499893520172	-4.307961121497285	0.03600164631058225	0.24268016294887096
379.9662671904976	379.91135608107385	379.99677336239967	Fe 1	0.12901045199135747	-0.846	0.958	4.22	0.03166265536730447	-4.0791977084765465	0.020448252093788685	0.20904261252383866
381.59529677006964	381.52208195750455	381.6136004732109	Fe 1	0.17642476793960546	0.237	1.485	4.733	0.03635868093342423	-4.02099489436139	0.05000155452034855	0.11838747104751364
382.05288934860107	381.9735733016557	382.08339552050313	Fe 1	0.0721608979776085	0.11900000000000001	0.859	4.103	0.06185369752322058	-3.7907578222398173	0.044202810867692975	0.023395736358997127
382.4555708177088	382.38845723952414	382.46777328646965	Fe 1	0.2072137414483636	-1.3619999999999999	0.0	3.241	0.036601542236154444	-4.0190816060676315	0.04379032600705367	0.1164666420388454
382.5958992084584	382.5165831615129	382.64470908350177	Fe 1	0.0824590147641819	-0.037000000000000005	0.915	4.154	0.049343616743563315	-3.8895093319593617	0.05167212484113205	0.08568776690672437
382.7911387086318	382.7179238960668	382.7972399430122	Fe 1	0.20756789645020102	0.062	1.557	4.796	0.024615297567767157	-4.191756785460262	0.05798061426251727	0.17114347254576678
383.4256670841955	383.36465474039125	383.43786955295633	Fe 1	0.11735239662344868	-0.302	0.958	4.191	0.0259422555401539	-4.169673448864984	0.04358976865470696	0.29837143005520317
385.09130407005	385.05469666376746	385.1279114763325	Fe 1	0.6373249723925327	-1.734	0.99	4.209	0.014097976176639928	-4.43640693937996	0.05217355702843905	0.2807616375772479
385.6465163986682	385.5733015861032	385.84785713322196	Fe 1	0.19774784634536427	-1.286	0.052	3.266	0.048455707018283015	-3.9008444779179228	0.05427053802290035	0.00919978751645178
385.99428675835213	385.9088694770263	386.0247929302542	Fe 1	0.06983726035429492	-0.71	0.0	3.211	0.05784281072268483	-3.824331488345858	0.07574713516962739	0.03735334578316527
386.56170155573113	386.5067904463074	386.57390402449204	Fe 1	0.4199791417824378	-0.982	1.011	4.218	0.025373580571525695	-4.182837067626147	0.05316761937054596	0.041568522271143854
387.25724227509903	387.1779262281535	387.2755459782403	Fe 1	0.3457554694214272	-0.9279999999999999	0.99	4.191	0.03039734665505334	-4.105163872185881	0.05552144997905766	0.06039895882285754
388.63612124507375	388.5690076668892	388.64222247945435	Fe 1	0.08958248023369958	-1.0759999999999998	0.052	3.241	0.02817986865615632	-4.13960419846739	0.05441455036551894	0.35787485397329966
388.71543729201926	388.6849311201171	388.73374099516053	Fe 1	0.22803542125599094	-1.1440000000000001	0.915	4.103	0.01514734247964789	-4.409295343500255	0.05244200415495166	0.3576024442352844
388.9411829640948	388.8252595108668	388.97779037037736	Fe 1	-0.02036518737851023	-0.5479999999999999	1.608	4.796	0.11934065809611658	-3.5130955023691324	0.06344990093077639	0.0022567934934958856
389.569610105278	389.5085977614738	389.58181257403885	Fe 1	0.24034013490674325	-1.67	0.11	3.292	0.019494721370217672	-4.300668038313821	0.05710306482006928	0.10087076865732478
390.30175823092833	390.24074588712415	390.3322644028305	Fe 1	0.3351701737809906	-0.466	1.557	4.733	0.02938845491058842	-4.123223753927367	0.07479973301123533	0.02093057222985048
390.64952859061225	390.58851624680807	390.6617310593731	Fe 1	0.4327637682435804	-2.2430000000000003	0.11	3.283	0.018467705453857366	-4.325374365307826	0.06334022444078655	0.01332213143452706
392.0345087949675	391.9612939824025	392.05281249810884	Fe 1	0.28246613564867684	-1.746	0.121	3.283	0.03018670623981137	-4.113508568966034	0.06519039063832811	0.015190825834764218
