wave_peak	wave_base	wave_top	note
376.132	376.075	376.21	Ti 2
376.379	376.34	376.434	Fe 1
376.719	376.67	376.755	Fe 1
376.946	376.941	376.951	Ni2
377.063	377.058	377.068	H
377.433	377.428	377.438	Y2
378.335	378.325	378.375	Fe 2
378.788	378.758	378.821	Fe 1
378.87	378.865	378.875	Y2
379.5	379.458	379.538	Fe 1
379.79	379.785	379.795	H
381.458	381.418	381.51	Ti 2
381.584	381.55	381.63	Fe 1
382.043	381.998	382.102	Fe 1
382.445	382.405	382.491	Fe 1
382.588	382.55	382.646	Fe 1
382.783	382.743	382.823	Fe 1
382.935	382.93	382.94	Mg1
383.23	383.225	383.235	Mg1
383.423	383.377	383.469	Fe 1
383.539	383.534	383.544	H
383.829	383.824	383.834	Mg1
384.303	384.298	384.308	Zr2
385	384.965	385.03	Fe 1
385.082	385.055	385.115	Fe 1
385.637	385.597	385.685	Fe 1
385.83	385.825	385.835	Ni2
385.991	385.935	386.043	Fe 1
386.553	386.532	386.591	Fe 1
387.25	387.204	387.292	Fe 1
388.228	388.21	388.264	Ti 2
388.628	388.594	388.667	Fe 1
388.705	388.679	388.738	Fe 1
388.852	388.819	388.978	Fe 1
389.566	389.533	389.599	Fe 1
390.295	390.253	390.356	Fe 1
390.645	390.614	390.681	Fe 1
391.346	391.302	391.398	Ti 2
391.448	391.405	391.498	Fe 2
392.026	391.998	392.071	Fe 1
392.291	392.259	392.34	Fe 1
392.792	392.755	392.84	Fe 1
393.03	392.947	393.077	Fe 1
393.366	393.361	393.371	Ca2
393.829	393.81	393.883	Fe 2
394.401	394.396	394.406	Al1
394.521	394.516	394.526	Fe 2
395.035	395.03	395.04	Y2
395.197	395.192	395.202	V2
395.824	395.819	395.829	Zr2
396.152	396.147	396.157	Al1
398.98	398.975	398.985	V2
399.898	399.893	399.903	Zr2
400.571	400.566	400.576	V2
401.237	401.206	401.285	Ti 2
402.833	402.809	402.876	Ti 2
403.076	403.071	403.081	Mn1
403.307	403.302	403.312	Mn1
403.449	403.444	403.454	Mn1
403.563	403.558	403.568	V2
404.582	404.541	404.633	Fe 1
406.36	406.312	406.415	Fe 1
407.174	407.139	407.217	Fe 1
407.771	417.315	417.378	Sr2
410.174	410.169	410.179	Hzeta
417.754	417.749	417.759	Y2
417.886	417.868	417.92	Fe 2
420.203	420.172	420.251	Fe 1
420.505	420.5	420.51	Eu2
421.552	421.547	421.557	Sr2
422.673	422.668	422.678	Ca1
423.316	423.249	423.382	Fe 2
424.683	424.678	424.688	Sc2
425.079	425.043	425.126	Fe 1
425.435	425.43	425.44	Cr1
425.816	425.787	425.875	Fe 2
427.176	427.139	427.219	Fe 1
427.48	427.475	427.485	Cr1
429.41	429.348	429.452	Ti 2
430.005	429.975	430.081	Ti 2
430.79	43.0751	430.843	Ti 2
431.286	431.261	431.329	Ti 2
432.075	432.07	432.08	Sc2
432.075	432.07	432.08	Sc2
434.047	434.042	434.052	Hgamma
434.429	434.407	434.473	Ti 2
435.176	435.139	435.229	Fe 2
438.355	438.315	438.404	Fe 1
439.503	439.466	439.563	Ti 2
439.977	439.948	440.0072	Ti 2
440.036	440.031	440.041	Sc2
440.475	440.44	440.525	Fe 1
441.772	441.746	441.8	Ti 2
444.38	444.348	444.446	Ti 2
446.849	446.814	446.897	Ti 2
450.127	450.088	450.167	Ti 2
452.263	452.224	452.316	Fe 2
453.397	453.365	453.444	Ti 2
454.962	454.906	455.008	Ti 2
455.403	455.398	455.408	Ba2
456.376	456.348	456.432	Ti 2
457.197	457.147	457.248	Ti 2
458.383	458.303	458.352	Fe 2
458.996	458.962	459.028	Ti 2
462.934	462.91	462.969	Fe 2
