JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458747.34444,3.7,,,Vis.,REE,,3.2,4.3,x24147cm,,,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458747.77354,4.952,0.037,,B,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458747.77765,3.725,0.019,,V,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458747.78096,3.006,0.013,,R,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458747.78480,2.250,0.009,,I,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458748.33056,3.7,,,Vis.,REE,,3.2,4.3,x24147cm,,,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458748.400,3.6,,,Vis.,NJO,,NA,,NA,,,,Z,,,,ZET AUR,BAV,STD,,,,
2458748.5408,3.776,0.006,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.19,Z,4.25,3.169,,ZET AUR,AAVSO,STD,,,,
2458748.5408,4.970,0.010,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.19,Z,5.42,3.500,,ZET AUR,AAVSO,STD,,,,
2458750.82001,4.964,0.019,,B,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458750.82439,3.717,0.009,,V,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458750.82801,3.001,0.013,,R,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
