teff	logg	MH	alpha	vmic
3500	1	1	0	2.12
3500	1	0.5	0	2.09
3500	1	0	0	2.06
3500	1	-0.5	0	2.04
3500	1	-1	0.4	2.02
3500	1	-1.5	0.4	2.01
3500	1	-2	0.4	2
3500	1.5	1	0	2.07
3500	1.5	0.5	0	2.03
3500	1.5	0	0	2.01
3500	1.5	-0.5	0	1.98
3500	1.5	-1	0.4	1.97
3500	1.5	-1.5	0.4	1.95
3500	1.5	-2	0.4	1.95
3500	2	1	0	2.01
3500	2	0.5	0	1.98
3500	2	0	0	1.95
3500	2	-0.5	0	1.93
3500	2	-1	0.4	1.91
3500	2	-1.5	0.4	1.9
3500	2	-2	0.4	1.89
3500	2.5	1	0	1.95
3500	2.5	0.5	0	1.91
3500	2.5	0	0	1.89
3500	2.5	-0.5	0	1.86
3500	2.5	-1	0.4	1.85
3500	2.5	-1.5	0.4	1.83
3500	2.5	-2	0.4	1.83
3500	3	1	0	1.88
3500	3	0.5	0	1.85
3500	3	0	0	1.82
3500	3	-0.5	0	1.8
3500	3	-1	0.4	1.78
3500	3	-1.5	0.4	1.77
3500	3	-2	0.4	1.76
3500	3.5	1	0	1.09
3500	3.5	0.5	0	1.06
3500	3.5	0	0	1.03
3500	3.5	-0.5	0	1.01
3500	3.5	-1	0.4	0.99
3500	3.5	-1.5	0.4	0.98
3500	3.5	-2	0.4	0.97
3500	4	1	0	1.02
3500	4	0.5	0	0.99
3500	4	0	0	0.96
3500	4	-0.5	0	0.94
3500	4	-1	0.4	0.92
3500	4	-1.5	0.4	0.91
3500	4	-2	0.4	0.9
3500	4.5	1	0	0.95
3500	4.5	0.5	0	0.92
3500	4.5	0	0	0.89
3500	4.5	-0.5	0	0.87
3500	4.5	-1	0.4	0.85
3500	4.5	-1.5	0.4	0.84
3500	4.5	-2	0.4	0.83
3500	5	1	0	0.88
3500	5	0.5	0	0.84
3500	5	0	0	0.82
3500	5	-0.5	0	0.79
3500	5	-1	0.4	0.78
3500	5	-1.5	0.4	0.76
3500	5	-2	0.4	0.76
3600	1	1	0	2.04
3600	1	0.5	0	2.01
3600	1	0	0	1.98
3600	1	-0.5	0	1.96
3600	1	-1	0.4	1.94
3600	1	-1.5	0.4	1.93
3600	1	-2	0.4	1.92
3600	1.5	1	0	1.99
3600	1.5	0.5	0	1.95
3600	1.5	0	0	1.93
3600	1.5	-0.5	0	1.9
3600	1.5	-1	0.4	1.89
3600	1.5	-1.5	0.4	1.87
3600	1.5	-2	0.4	1.87
3600	2	1	0	1.93
3600	2	0.5	0	1.89
3600	2	0	0	1.87
3600	2	-0.5	0	1.84
3600	2	-1	0.4	1.83
3600	2	-1.5	0.4	1.81
3600	2	-2	0.4	1.81
3600	2.5	1	0	1.87
3600	2.5	0.5	0	1.83
3600	2.5	0	0	1.81
3600	2.5	-0.5	0	1.78
3600	2.5	-1	0.4	1.77
3600	2.5	-1.5	0.4	1.75
3600	2.5	-2	0.4	1.75
3600	3	1	0	1.8
3600	3	0.5	0	1.77
3600	3	0	0	1.74
3600	3	-0.5	0	1.72
3600	3	-1	0.4	1.7
3600	3	-1.5	0.4	1.69
3600	3	-2	0.4	1.68
3600	3.5	1	0	1.09
3600	3.5	0.5	0	1.06
3600	3.5	0	0	1.03
3600	3.5	-0.5	0	1.01
3600	3.5	-1	0.4	0.99
3600	3.5	-1.5	0.4	0.98
3600	3.5	-2	0.4	0.97
3600	4	1	0	1.02
3600	4	0.5	0	0.99
3600	4	0	0	0.96
3600	4	-0.5	0	0.94
3600	4	-1	0.4	0.92
3600	4	-1.5	0.4	0.91
3600	4	-2	0.4	0.9
3600	4.5	1	0	0.95
3600	4.5	0.5	0	0.92
3600	4.5	0	0	0.89
3600	4.5	-0.5	0	0.87
3600	4.5	-1	0.4	0.85
3600	4.5	-1.5	0.4	0.84
3600	4.5	-2	0.4	0.83
3600	5	1	0	0.88
3600	5	0.5	0	0.84
3600	5	0	0	0.82
3600	5	-0.5	0	0.79
3600	5	-1	0.4	0.78
3600	5	-1.5	0.4	0.76
3600	5	-2	0.4	0.76
3700	1	1	0	1.97
3700	1	0.5	0	1.94
3700	1	0	0	1.91
3700	1	-0.5	0	1.89
3700	1	-1	0.4	1.87
3700	1	-1.5	0.4	1.86
3700	1	-2	0.4	1.85
3700	1.5	1	0	1.91
3700	1.5	0.5	0	1.88
3700	1.5	0	0	1.85
3700	1.5	-0.5	0	1.83
3700	1.5	-1	0.4	1.81
3700	1.5	-1.5	0.4	1.8
3700	1.5	-2	0.4	1.79
3700	2	1	0	1.85
3700	2	0.5	0	1.82
3700	2	0	0	1.79
3700	2	-0.5	0	1.77
3700	2	-1	0.4	1.75
3700	2	-1.5	0.4	1.74
3700	2	-2	0.4	1.73
3700	2.5	1	0	1.79
3700	2.5	0.5	0	1.76
3700	2.5	0	0	1.73
3700	2.5	-0.5	0	1.71
3700	2.5	-1	0.4	1.69
3700	2.5	-1.5	0.4	1.68
3700	2.5	-2	0.4	1.67
3700	3	1	0	1.73
3700	3	0.5	0	1.7
3700	3	0	0	1.67
3700	3	-0.5	0	1.65
3700	3	-1	0.4	1.63
3700	3	-1.5	0.4	1.62
3700	3	-2	0.4	1.61
3700	3.5	1	0	1.09
3700	3.5	0.5	0	1.06
3700	3.5	0	0	1.03
3700	3.5	-0.5	0	1.01
3700	3.5	-1	0.4	0.99
3700	3.5	-1.5	0.4	0.98
3700	3.5	-2	0.4	0.97
3700	4	1	0	1.02
3700	4	0.5	0	0.99
3700	4	0	0	0.96
3700	4	-0.5	0	0.94
3700	4	-1	0.4	0.92
3700	4	-1.5	0.4	0.91
3700	4	-2	0.4	0.9
3700	4.5	1	0	0.95
3700	4.5	0.5	0	0.92
3700	4.5	0	0	0.89
3700	4.5	-0.5	0	0.87
3700	4.5	-1	0.4	0.85
3700	4.5	-1.5	0.4	0.84
3700	4.5	-2	0.4	0.83
3700	5	1	0	0.88
3700	5	0.5	0	0.84
3700	5	0	0	0.82
3700	5	-0.5	0	0.79
3700	5	-1	0.4	0.78
3700	5	-1.5	0.4	0.76
3700	5	-2	0.4	0.76
3800	1	1	0	1.9
3800	1	0.5	0	1.87
3800	1	0	0	1.84
3800	1	-0.5	0	1.82
3800	1	-1	0.4	1.8
3800	1	-1.5	0.4	1.79
3800	1	-2	0.4	1.78
3800	1.5	1	0	1.84
3800	1.5	0.5	0	1.81
3800	1.5	0	0	1.78
3800	1.5	-0.5	0	1.76
3800	1.5	-1	0.4	1.74
3800	1.5	-1.5	0.4	1.73
3800	1.5	-2	0.4	1.72
3800	2	1	0	1.78
3800	2	0.5	0	1.75
3800	2	0	0	1.72
3800	2	-0.5	0	1.7
3800	2	-1	0.4	1.68
3800	2	-1.5	0.4	1.67
3800	2	-2	0.4	1.66
3800	2.5	1	0	1.72
3800	2.5	0.5	0	1.69
3800	2.5	0	0	1.66
3800	2.5	-0.5	0	1.64
3800	2.5	-1	0.4	1.62
3800	2.5	-1.5	0.4	1.61
3800	2.5	-2	0.4	1.6
3800	3	1	0	1.66
3800	3	0.5	0	1.63
3800	3	0	0	1.6
3800	3	-0.5	0	1.58
3800	3	-1	0.4	1.56
3800	3	-1.5	0.4	1.55
3800	3	-2	0.4	1.54
3800	3.5	1	0	1.09
3800	3.5	0.5	0	1.06
3800	3.5	0	0	1.03
3800	3.5	-0.5	0	1.01
3800	3.5	-1	0.4	0.99
3800	3.5	-1.5	0.4	0.98
3800	3.5	-2	0.4	0.97
3800	4	1	0	1.02
3800	4	0.5	0	0.99
3800	4	0	0	0.96
3800	4	-0.5	0	0.94
3800	4	-1	0.4	0.92
3800	4	-1.5	0.4	0.91
3800	4	-2	0.4	0.9
3800	4.5	1	0	0.95
3800	4.5	0.5	0	0.92
3800	4.5	0	0	0.89
3800	4.5	-0.5	0	0.87
3800	4.5	-1	0.4	0.85
3800	4.5	-1.5	0.4	0.84
3800	4.5	-2	0.4	0.83
3800	5	1	0	0.88
3800	5	0.5	0	0.84
3800	5	0	0	0.82
3800	5	-0.5	0	0.79
3800	5	-1	0.4	0.78
3800	5	-1.5	0.4	0.76
3800	5	-2	0.4	0.76
3900	1	1	0	1.84
3900	1	0.5	0	1.8
3900	1	0	0	1.78
3900	1	-0.5	0	1.75
3900	1	-1	0.4	1.74
3900	1	-1.5	0.4	1.72
3900	1	-2	0.4	1.72
3900	1.5	1	0	1.78
3900	1.5	0.5	0	1.75
3900	1.5	0	0	1.72
3900	1.5	-0.5	0	1.7
3900	1.5	-1	0.4	1.68
3900	1.5	-1.5	0.4	1.67
3900	1.5	-2	0.4	1.66
3900	2	1	0	1.72
3900	2	0.5	0	1.69
3900	2	0	0	1.66
3900	2	-0.5	0	1.64
3900	2	-1	0.4	1.62
3900	2	-1.5	0.4	1.61
3900	2	-2	0.4	1.6
3900	2.5	1	0	1.66
3900	2.5	0.5	0	1.63
3900	2.5	0	0	1.6
3900	2.5	-0.5	0	1.58
3900	2.5	-1	0.4	1.56
3900	2.5	-1.5	0.4	1.55
3900	2.5	-2	0.4	1.54
3900	3	1	0	1.6
3900	3	0.5	0	1.56
3900	3	0	0	1.54
3900	3	-0.5	0	1.51
3900	3	-1	0.4	1.5
3900	3	-1.5	0.4	1.48
3900	3	-2	0.4	1.48
3900	3.5	1	0	1.09
3900	3.5	0.5	0	1.06
3900	3.5	0	0	1.03
3900	3.5	-0.5	0	1.01
3900	3.5	-1	0.4	0.99
3900	3.5	-1.5	0.4	0.98
3900	3.5	-2	0.4	0.97
3900	4	1	0	1.02
3900	4	0.5	0	0.99
3900	4	0	0	0.96
3900	4	-0.5	0	0.94
3900	4	-1	0.4	0.92
3900	4	-1.5	0.4	0.91
3900	4	-2	0.4	0.9
3900	4.5	1	0	0.95
3900	4.5	0.5	0	0.92
3900	4.5	0	0	0.89
3900	4.5	-0.5	0	0.87
3900	4.5	-1	0.4	0.85
3900	4.5	-1.5	0.4	0.84
3900	4.5	-2	0.4	0.83
3900	5	1	0	0.88
3900	5	0.5	0	0.84
3900	5	0	0	0.82
3900	5	-0.5	0	0.79
3900	5	-1	0.4	0.78
3900	5	-1.5	0.4	0.76
3900	5	-2	0.4	0.76
4000	1	1	0	1.78
4000	1	0.5	0	1.75
4000	1	0	0	1.72
4000	1	-0.5	0	1.7
4000	1	-1	0.4	1.68
4000	1	-1.5	0.4	1.67
4000	1	-2	0.4	1.66
4000	1.5	1	0	1.72
4000	1.5	0.5	0	1.69
4000	1.5	0	0	1.66
4000	1.5	-0.5	0	1.64
4000	1.5	-1	0.4	1.62
4000	1.5	-1.5	0.4	1.61
4000	1.5	-2	0.4	1.6
4000	2	1	0	1.67
4000	2	0.5	0	1.63
4000	2	0	0	1.61
4000	2	-0.5	0	1.58
4000	2	-1	0.4	1.57
4000	2	-1.5	0.4	1.55
4000	2	-2	0.4	1.55
4000	2.5	1	0	1.6
4000	2.5	0.5	0	1.57
4000	2.5	0	0	1.54
4000	2.5	-0.5	0	1.52
4000	2.5	-1	0.4	1.5
4000	2.5	-1.5	0.4	1.49
4000	2.5	-2	0.4	1.48
4000	3	1	0	1.54
4000	3	0.5	0	1.51
4000	3	0	0	1.48
4000	3	-0.5	0	1.46
4000	3	-1	0.4	1.44
4000	3	-1.5	0.4	1.43
4000	3	-2	0.4	1.42
4000	3.5	1	0	1.09
4000	3.5	0.5	0	1.06
4000	3.5	0	0	1.03
4000	3.5	-0.5	0	1.01
4000	3.5	-1	0.4	0.99
4000	3.5	-1.5	0.4	0.98
4000	3.5	-2	0.4	0.97
4000	4	1	0	1.02
4000	4	0.5	0	0.99
4000	4	0	0	0.96
4000	4	-0.5	0	0.94
4000	4	-1	0.4	0.92
4000	4	-1.5	0.4	0.91
4000	4	-2	0.4	0.9
4000	4.5	1	0	0.95
4000	4.5	0.5	0	0.92
4000	4.5	0	0	0.89
4000	4.5	-0.5	0	0.87
4000	4.5	-1	0.4	0.85
4000	4.5	-1.5	0.4	0.84
4000	4.5	-2	0.4	0.83
4000	5	1	0	0.88
4000	5	0.5	0	0.84
4000	5	0	0	0.82
4000	5	-0.5	0	0.79
4000	5	-1	0.4	0.78
4000	5	-1.5	0.4	0.76
4000	5	-2	0.4	0.76
4100	1	1	0	1.73
4100	1	0.5	0	1.7
4100	1	0	0	1.67
4100	1	-0.5	0	1.65
4100	1	-1	0.4	1.63
4100	1	-1.5	0.4	1.62
4100	1	-2	0.4	1.61
4100	1.5	1	0	1.67
4100	1.5	0.5	0	1.64
4100	1.5	0	0	1.61
4100	1.5	-0.5	0	1.59
4100	1.5	-1	0.4	1.57
4100	1.5	-1.5	0.4	1.56
4100	1.5	-2	0.4	1.55
4100	2	1	0	1.62
4100	2	0.5	0	1.58
4100	2	0	0	1.56
4100	2	-0.5	0	1.53
4100	2	-1	0.4	1.52
4100	2	-1.5	0.4	1.5
4100	2	-2	0.4	1.5
4100	2.5	1	0	1.55
4100	2.5	0.5	0	1.52
4100	2.5	0	0	1.49
4100	2.5	-0.5	0	1.47
4100	2.5	-1	0.4	1.45
4100	2.5	-1.5	0.4	1.44
4100	2.5	-2	0.4	1.43
4100	3	1	0	1.49
4100	3	0.5	0	1.46
4100	3	0	0	1.43
4100	3	-0.5	0	1.41
4100	3	-1	0.4	1.39
4100	3	-1.5	0.4	1.38
4100	3	-2	0.4	1.37
4100	3.5	1	0	1.09
4100	3.5	0.5	0	1.06
4100	3.5	0	0	1.03
4100	3.5	-0.5	0	1.01
4100	3.5	-1	0.4	0.99
4100	3.5	-1.5	0.4	0.98
4100	3.5	-2	0.4	0.97
4100	4	1	0	1.02
4100	4	0.5	0	0.99
