wave_peak	wave_base	wave_top	note
687.32745	686.50485	688.35754	
760.43319	759.16155	761.72444	
763.57488	761.92923	767.76380	
370.42155	370.17202	370.67108	
371.17014	370.93843	371.40185	
372.22174	371.84744	372.57821	
373.48722	373.14857	373.80805	
375.02006	374.61011	375.41218	
377.06978	376.41031	377.69361	
379.83245	379.06603	380.58105	
383.57543	382.29212	384.60920	
388.90471	387.62140	390.63360	
393.36063	392.21991	394.46569	
396.96101	395.55294	398.61861	
410.18903	408.16516	412.37060	
434.08115	431.76816	436.15758	
486.06991	483.62110	489.57035	
656.28494	653.18156	659.45224	
517.75128	512.87565	522.04678	
844.46225	843.41904	844.89587	
846.73873	846.14251	847.49756	
850.04505	849.28622	850.58707	
854.21860	853.03199	855.43541	
866.35982	864.56910	868.12349	
588.93596	588.55043	589.98528	
527.00097	526.51919	527.39143	
724.05184	723.91270	724.14128	
730.31341	729.93965	730.48403	
731.08885	730.77867	731.13885	
731.81656	731.62697	732.13867	
793.07330	792.74781	793.39880	
738.95141	738.09641	739.08249	
716.62121	716.39955	716.81044	
717.79981	717.56734	717.92957	
719.32983	719.10276	719.58934	
718.68106	718.40533	718.91353	
727.69282	727.50476	727.87099	
729.19731	728.71231	729.56353	
822.93725	822.68990	823.24509	
817.78377	817.63280	817.94759	
819.92624	819.70139	820.22478	
827.45132	827.16275	827.70840	
838.57715	838.24805	838.81292	
814.10050	813.94561	814.23291	
814.80897	814.59227	815.00951	
833.39209	833.15761	833.59726	
723.43420	723.19275	723.64235	
720.12044	719.99555	720.22868	
726.16514	725.68254	726.63360	
831.21566	830.96338	831.43884	
720.55746	720.36214	720.76827	
813.51077	813.30342	813.70858	
813.06271	812.98406	813.15089	
821.23062	820.90622	821.52293	
721.72588	721.43283	722.00117	
588.19126	587.87299	588.44252	
594.17339	593.98724	594.28715	
628.03073	627.67744	628.31258	
